"C_p_KT","C_p_L","C_p_PG","C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.346659779549,0.320561647415,0.364790976048,0.260190665722,1.09694266319,1.11274826527,1.07700002193,0,0,2.82980727206e-06,-7.93923106812e-07,-2.12519516936e-05,1,-0.0129854520783,-0.0610870420933,201.746276855,26.5655136108,25.8711357117
0.333575099707,0.309042334557,0.350585520267,0.250058472157,1.09585106373,1.11147928238,1.07700002193,-0.000168968108483,0.00128018271737,2.75342790701e-06,-7.72464431975e-07,-2.07410848816e-05,1,-0.0127992806956,-0.0604680255055,203.181015015,26.0596733093,25.9494419098
0.287505239248,0.268567055464,0.300500959158,0.214335173368,1.09184515476,1.10682237148,1.07700002193,-0.000789052748587,0.00597819549481,2.45250794251e-06,-6.87911949626e-07,-1.87477235158e-05,1,-0.0121160335839,-0.0582229420543,208.22215271,24.3470363617,26.2071037292
0.269409358501,0.25249683857,0.280966222286,0.200401842594,1.09055840969,1.10541808605,1.07700002193,-0.000967829662841,0.00739381506113,2.33321520682e-06,-6.54407983802e-07,-1.79180988198e-05,1,-0.0119893709198,-0.0575188882649,210.15562439,23.7615623474,26.3332176208
0.204601600766,0.19509716332,0.210880145431,0.150412276387,1.08584499359,1.10026478767,1.07700002193,-0.00162391108461,0.012588709382,1.85136912023e-06,-5.19070056271e-07,-1.4583385564e-05,1,-0.0115158557892,-0.0549653917551,217.091079712,21.6460933685,26.7801628113
0.195726543665,0.186929941177,0.201525732875,0.143740147352,1.08439612389,1.09871637821,1.07700002193,-0.00181980757043,0.0141494615388,1.80488768819e-06,-5.06037906689e-07,-1.42203180076e-05,1,-0.0114062279463,-0.0549471639097,217.97253418,21.3449077606,26.899105072
0.163654029369,0.157505631447,0.167653232813,0.11958027631,1.07909059525,1.09303379059,1.07700002193,-0.00253871525638,0.0198773433777,1.61885304806e-06,-4.53879493989e-07,-1.27676885313e-05,1,-0.0109924655408,-0.0548810511827,221.159988403,20.2847633362,27.3281364441
0.156003683805,0.150338843465,0.159682571888,0.113895125687,1.0774718523,1.09133207798,1.07700002193,-0.0027550784871,0.0215927555291,1.57266151746e-06,-4.40932296897e-07,-1.24001217046e-05,1,-0.0108983349055,-0.0549116581678,221.896316528,20.0165138245,27.4376831055
0.128171160817,0.124346204102,0.130626738071,0.0931707695127,1.07154428959,1.08508682251,1.07700002193,-0.00354909594171,0.0278882840698,1.38615780543e-06,-3.88656957284e-07,-1.09153334051e-05,1,-0.0105400467291,-0.0550226531923,224.575088501,19.0861053467,27.8345241547
0.121119976044,0.117636606097,0.123353518546,0.087983071804,1.06974589825,1.08322286606,1.07700002193,-0.00378544372506,0.0297671651005,1.33295066007e-06,-3.73714669877e-07,-1.05054114101e-05,1,-0.0104624321684,-0.0548537522554,225.242126465,18.8315582275,27.889875412
0.0953560248017,0.0931951105595,0.0967268869281,0.0689913779497,1.06315970421,1.07638251781,1.07700002193,-0.0046527995728,0.0366622844078,1.11589417884e-06,-3.12748653641e-07,-8.83673146745e-06,1,-0.0101638939232,-0.0542411841452,227.678146362,17.9548988342,28.091091156
