"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.0179615616798,65.1625061035,65.500289917,46.5,0,0,-0.00628604460508,0.00628608651459,0.0588281191885,1,65.1625061035,0,159.501159668,20.0200195312,14.9041624069
0.0261452458799,64.0598602295,64.3700408936,46.5,-0.12077126652,1.13668313694,-0.00594312790781,0.00594316609204,0.0559044331312,1,64.0598602295,0,159.154632568,16.7515125275,15.278087616
0.0218515768647,63.8502349854,64.1507797241,46.5,-0.144201010466,1.35719257738,-0.00512710493058,0.00512713845819,0.0482396371663,1,63.8502349854,0,159.553604126,16.120426178,15.4003343582
-0.0209155268967,61.224105835,61.545791626,46.5,-0.425121426582,3.97728403984,0.013938928023,-0.013939014636,-0.145396634936,1,61.224105835,0,163.519332886,10.5414609909,15.7917089462
-0.0324791967869,60.7192993164,61.0404205322,46.5,-0.479620248079,4.48558519461,0.0214723460376,-0.0214724764228,-0.220988467336,1,60.7192993164,0,164.532028198,9.4312582016,15.8925008774
-0.0852891355753,56.258518219,56.7312164307,46.5,-0.899335443974,8.81518111508,0.0332143716514,-0.0332146771252,-0.675039052963,1,56.258518219,0,169.22845459,3.70367121696,10.6899986267
-0.0957739874721,55.3926734924,55.8952293396,46.5,-0.980760574341,9.65512424904,0.0374194718897,-0.0374198332429,-0.816593527794,1,55.3926734924,0,170.140060425,2.57193231583,9.6593580246
-0.0940857082605,54.5022087097,55.0560379028,46.5,-0.998101711273,10.4944948362,0.0287799481302,-0.0287802722305,-0.761854887009,1,54.5022087097,0,169.941360474,2.71478390694,6.54397726059
-0.0964361578226,49.8977355957,50.730342865,46.5,-1.08748853207,14.8211133269,-0.0118252485991,0.0118250399828,-0.609989106655,1,49.8977355957,0,169.718948364,4.54626989365,-9.38689613342
-0.053409665823,49.3808555603,50.2274780273,46.5,-1.01772725582,15.3287940145,0.043073348701,-0.0430735051632,-0.402452677488,1,49.3808555603,0,164.30506897,9.66408538818,-11.781879425
0.148849397898,46.6515350342,47.63539505,46.5,-0.658134460449,17.945700803,0.194850727916,-0.194850698113,0.203668877482,1,46.6515350342,0,138.107666016,35.3699836731,-24.2697753906
0.126189187169,46.5154647827,47.4509162903,46.5,-0.551200926304,18.1589311797,0.150829076767,-0.150829046965,0.277945309877,1,46.5154647827,0,138.002792358,35.2565422058,-15.0256900787
0.0318129993975,45.7789878845,46.5,46.5,0,19.2580509422,0.0343202538788,-0.0343202538788,0.518405020237,1,45.7789878845,0,137.011627197,34.0565452576,29.4980964661
-0.308392673731,47.0275497437,47.4509162903,46.5,0.551200926304,20.3571707047,-0.218544900417,0.218544721603,1.10025799274,1,47.0275497437,0,170.029647827,-4.42872047424,56.2802505493
-0.386679083109,47.273891449,47.63539505,46.5,0.658134460449,20.5704010813,-0.316922515631,0.31692224741,1.32099974155,1,47.273891449,0,177.398147583,-12.0472164154,61.2284812927
-0.378156542778,50.4347724915,50.2274780273,46.5,1.01772725582,23.1873078698,-0.214420974255,0.214420378208,1.96521055698,1,50.4347724915,0,185.417098999,-27.2316532135,21.8361377716
-0.375267803669,51.0551109314,50.730342865,46.5,1.08748853207,23.6949885575,-0.170543536544,0.170542865992,2.21402335167,1,51.0551109314,0,187.114395142,-29.2908306122,13.8178873062
-0.203419312835,55.8352851868,55.0560379028,46.5,0.998101711273,28.0216070482,-0.00980484113097,0.0098042525351,1.67504096031,1,55.8352851868,0,175.984039307,-24.1085262299,-6.97659873962
-0.169677853584,56.7876319885,55.8952293396,46.5,0.980760574341,28.8609776353,0.0510625317693,-0.0510631501675,1.51002752781,1,56.7876319885,0,173.903900146,-22.4805374146,-11.0299139023
-0.135556980968,57.6584396362,56.7312164307,46.5,0.899335443974,29.7009207693,0.0352469235659,-0.0352473556995,1.07686007023,1,57.6584396362,0,171.340789795,-20.7070636749,-12.0653057098
0.0373984910548,62.0174102783,61.0404205322,46.5,0.479620248079,34.0305166897,-0.0160081703216,0.0160082578659,-0.138264447451,1,62.0174102783,0,157.732086182,-16.3140850067,-17.8094997406
0.0592685602605,62.5055084229,61.545791626,46.5,0.425121426582,34.5388178445,-0.0280964188278,0.0280965808779,-0.256441414356,1,62.5055084229,0,155.92767334,-15.0549697876,-17.6198654175
0.171664148569,64.946975708,64.1507797241,46.5,0.144201010466,37.158909307,-0.0536326877773,0.0536329895258,-0.499524980783,1,64.946975708,0,146.492324829,-10.7260322571,-16.8816261292
0.183869734406,65.1452713013,64.3700408936,46.5,0.12077126652,37.3794187474,-0.0535015761852,0.0535018779337,-0.498759835958,1,65.1452713013,0,145.421264648,-10.2104530334,-16.6993656158
0.0179615616798,65.1625061035,65.500289917,46.5,0,38.5161018844,-0.00628604460508,0.00628608651459,0.0588281191885,1,65.1625061035,0,159.501159668,20.0200195312,14.9041624069
