"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
0.339344620705,65.5003051758,46.5,0,0,1,65.8061065674,0,124.034034729,34.5013008118,1.48023974895
0.131114408374,65.3753967285,46.5,-0.0133070377633,0.125615275553,1,65.6855926514,0,149.497268677,11.3983459473,12.7164163589
0.0810592919588,65.3439025879,46.5,-0.0166630689055,0.157287721602,1,65.6536331177,0,154.821487427,6.26837062836,15.8337812424
0.0781906917691,65.1681747437,46.5,-0.0354024060071,0.334011907824,1,65.4860916138,0,155.240203857,7.67577028275,15.7423868179
0.084834612906,65.1238555908,46.5,-0.0401284620166,0.378582334265,1,65.4423217773,0,154.718963623,8.34336090088,15.6194629669
0.0642548277974,64.8786239624,46.5,-0.0663143098354,0.625208063261,1,65.2072296143,0,156.586669922,7.595703125,15.9180603027
0.0648827254772,64.8167724609,46.5,-0.0729183703661,0.68741113271,1,65.1465530396,0,156.538085938,7.77743577957,15.8986845016
0.0451444946229,64.4783859253,46.5,-0.109116755426,1.02772829447,1,64.8182220459,0,158.273300171,6.14876174927,16.2856636047
0.0435477234423,64.3930358887,46.5,-0.118245981634,1.11356518352,1,64.7343444824,0,158.406097412,6.12596321106,16.3094158173
0.028693433851,63.9333076477,46.5,-0.167543277144,1.57592897848,1,64.2825927734,0,159.694641113,4.24402856827,16.6967163086
0.0262670777738,63.817363739,46.5,-0.179976046085,1.69253757038,1,64.1680374146,0,159.893844604,4.12630367279,16.7428741455
0.0143358530477,63.2058105469,46.5,-0.245863094926,2.30762976674,1,63.5605659485,0,160.895126343,2.3533744812,17.1008300781
0.0114007107913,63.0515785217,46.5,-0.262479782104,2.46275433563,1,63.4071044922,0,161.13331604,2.17841482162,17.1604804993
-0.000700130825862,62.2604789734,46.5,-0.348056733608,3.25846905211,1,62.6140937805,0,162.116592407,0.66798967123,17.4307117462
-0.00424508331344,62.060962677,46.5,-0.369639217854,3.45914928569,1,62.4139022827,0,162.402359009,0.451982349157,17.4851970673
-0.019557742402,61.0736808777,46.5,-0.476030439138,4.45214699124,1,61.4153518677,0,163.634689331,-0.84749943018,17.6043758392
-0.0240756440908,60.8246879578,46.5,-0.502862274647,4.70258145685,1,61.1630210876,0,163.997619629,-1.10615766048,17.6324520111
-0.045736938715,59.6462593079,46.5,-0.627597689629,5.88759327395,1,59.9580879211,0,165.743774414,-2.40530157089,17.4511833191
-0.0518326200545,59.3490600586,46.5,-0.659055888653,6.18645279287,1,59.6531639099,0,166.23236084,-2.73635697365,17.4102649689
-0.0814535990357,58.0147743225,46.5,-0.792877078056,7.52743248558,1,58.2686958313,0,168.638381958,-4.22068595886,16.4564590454
-0.0894631072879,57.6782684326,46.5,-0.826626718044,7.8656265898,1,57.9179000854,0,169.282165527,-4.6524553299,16.2228031158
