"C_p_inc","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.142949998379,43.9901542664,24.9899997711,0,0,0.0222844965756,-0.0222846288234,-0.208906039596,1,-0.83699131012,-0.032776799053,149.597183228,13.4362134933,14.524600029
0.125031203032,43.5918579102,24.9899997711,-0.0424870960414,0.400556039392,0.0225272048265,-0.022527333349,-0.21089592576,1,-0.805964887142,-0.0329180136323,151.246170044,11.7121114731,14.9056015015
0.113481730223,43.3351898193,24.9899997711,-0.0698666423559,0.658680328062,0.0226330645382,-0.0226331986487,-0.21169950068,1,-0.785921394825,-0.0330089330673,152.304534912,10.6202812195,15.148645401
0.0847671926022,42.639125824,24.9899997711,-0.144447207451,1.35872843093,0.0224248860031,-0.0224250238389,-0.208995506167,1,-0.75549530983,-0.033404648304,154.878372192,8.02592182159,15.7618198395
0.0663289278746,42.1905708313,24.9899997711,-0.192508429289,1.80985087828,0.0223778169602,-0.022377954796,-0.20805285871,1,-0.735683619976,-0.0336596928537,156.525894165,6.37322187424,16.1538238525
0.0435923151672,41.0614852905,24.9899997711,-0.314451634884,2.94550236697,0.0171163436025,-0.0171164497733,-0.159020751715,1,-0.707907676697,-0.0334616750479,158.455368042,4.40527296066,16.5391235352
0.0289312042296,40.3338813782,24.9899997711,-0.393034338951,3.67733752235,0.0137812457979,-0.0137813324109,-0.127964258194,1,-0.689602077007,-0.0333340913057,159.696411133,3.15516710281,16.7852058411
0.00132284802385,38.7061042786,24.9899997711,-0.566362202168,5.31431670187,-0.00147953303531,0.00147954444401,0.0269729923457,1,-0.683153450489,-0.0287081301212,162.007247925,0.790742993355,16.4968757629
-0.0165844727308,37.6571311951,24.9899997711,-0.67805814743,6.36921978466,-0.0113786878064,0.0113787613809,0.127278447151,1,-0.678442180157,-0.0257270745933,163.503189087,-0.714671194553,16.3090648651
-0.0476185232401,35.6673927307,24.9899997711,-0.862132489681,8.36745463573,-0.0232552606612,0.0232554320246,0.353042274714,1,-0.720374286175,-0.00828872807324,166.141235352,-3.43916630745,13.7551317215
-0.0680720806122,34.3851623535,24.9899997711,-0.980753779411,9.6551602506,-0.030984595418,0.0309848394245,0.499036252499,1,-0.746949017048,0.00294892326929,167.87437439,-5.18853569031,12.1075353622
-0.0767661854625,33.0989875793,24.9899997711,-1.04319512844,10.9428498373,-0.0210837330669,0.0210839696229,0.541516661644,1,-0.805166959763,0.0294276308268,168.649887085,-5.92254161835,7.54540300369
-0.090018928051,31.1031246185,24.9899997711,-1.14009058475,12.9410634615,-0.00558943301439,0.00558966444805,0.602926969528,1,-0.895574629307,0.0705167651176,169.83493042,-7.08716440201,0.483838349581
-0.0689551532269,30.0495643616,24.9899997711,-1.09439969063,13.9956140164,-0.000426778016845,0.000426947430242,0.456884235144,1,-0.946129024029,0.106990985572,167.918106079,-5.13681030273,-5.61262798309
-0.0356190241873,28.4146709442,24.9899997711,-1.02349734306,15.6320441643,0.0069680409506,-0.00696797622368,0.226694688201,1,-1.0238404274,0.163590982556,164.885421753,-2.11119961739,-15.0457983017
0.0221635829657,27.6903781891,24.9899997711,-0.920443594456,16.3636315277,-0.0269467253238,0.0269467551261,0.024217646569,1,-1.03551542759,0.207103207707,158.892745972,3.92706513405,-20.1820735931
0.112516917288,26.5664329529,24.9899997711,-0.760526537895,17.4988964126,-0.0805160552263,0.0805160328746,-0.290148228407,1,-1.05233085155,0.274624466896,149.510223389,13.3266811371,-28.0873603821
0.208296060562,26.1342010498,24.9899997711,-0.633466660976,17.9494168121,-0.174608945847,0.174608886242,-0.384008675814,1,-1.02526259422,0.351658284664,134.027267456,28.8631019592,-23.6666107178
0.355998158455,25.463470459,24.9899997711,-0.436297416687,18.6485271298,-0.320588231087,0.320588171482,-0.525323152542,1,-0.981634676456,0.471197962761,109.938713074,52.9850158691,-16.5849132538
0.243019998074,25.277923584,24.9899997711,-0.265319913626,18.9008383452,-0.221243366599,0.221243321896,-0.500531554222,1,-0.901302456856,0.505791127682,111.442260742,51.5267410278,13.7293462753
0.0647820830345,24.9899997711,24.9899997711,0,19.2923671162,-0.0630680695176,0.0630680695176,-0.459819108248,1,-0.774779200554,0.559472382069,113.981704712,49.019367218,60.7797241211
-0.299910843372,25.277923584,24.9899997711,0.265319913626,19.6838958873,0.238374784589,-0.238374739885,-0.823934137821,1,-0.625034511089,0.437552779913,149.630630493,13.4036359787,81.2137451172
-0.533216178417,25.463470459,24.9899997711,0.436297416687,19.9362071026,0.431717276573,-0.431717157364,-1.05648219585,1,-0.529635667801,0.358985364437,172.479110718,-9.38867473602,94.3941650391
-0.597849488258,26.1342010498,24.9899997711,0.633466660976,20.6353174204,0.426593542099,-0.426593333483,-1.67012071609,1,-0.314235061407,0.222896620631,188.330276489,-25.2147502899,67.8949127197
-0.640889525414,26.5664329529,24.9899997711,0.760526537895,21.0858378199,0.424290984869,-0.42429074645,-2.06409740448,1,-0.176233351231,0.135198295116,198.588424683,-35.4308128357,50.960144043
-0.574103474617,27.6903781891,24.9899997711,0.920443594456,22.2211027048,0.308064311743,-0.30806389451,-2.41859650612,1,0.0973359793425,0.0643483251333,197.776733398,-34.61668396,33.1159553528
-0.532224953175,28.4146709442,24.9899997711,1.02349734306,22.9526900682,0.233911752701,-0.233911171556,-2.64919090271,1,0.273195385933,0.0186910256743,197.310150146,-34.1247329712,21.6571369171
-0.457756489515,30.0495643616,24.9899997711,1.09439969063,24.5891202161,0.0932223722339,-0.0932215303183,-2.67260813713,1,0.603171944618,-0.0386794954538,193.559158325,-30.4048099518,8.37607574463
-0.410475701094,31.1031246185,24.9899997711,1.14009058475,25.643670771,0.00269568664953,-0.00269470456988,-2.689463377,1,0.815952003002,-0.0756502598524,191.182434082,-28.0254669189,-0.168904706836
-0.320015728474,33.0989875793,24.9899997711,1.04319512844,27.6418843951,-0.0741678625345,0.0741688236594,-2.22470974922,1,1.12618482113,-0.116446584463,185.264923096,-22.1294193268,-8.49446773529
-0.262028694153,34.3851623535,24.9899997711,0.980753779411,28.9295739819,-0.122886046767,0.122887000442,-1.9207290411,1,1.32690525055,-0.142736583948,181.469604492,-18.3297424316,-13.8540782928
-0.209412023425,35.6673927307,24.9899997711,0.862132489681,30.2172795968,-0.108403325081,0.108404099941,-1.52026462555,1,1.45477473736,-0.153721660376,177.694473267,-14.6128416061,-15.4459142685
-0.127141416073,37.6571311951,24.9899997711,0.67805814743,32.2155144478,-0.0845070108771,0.0845075398684,-0.881149828434,1,1.65131556988,-0.170768067241,171.794830322,-8.83354473114,-17.9139976501
-0.089950658381,38.7061042786,24.9899997711,0.566362202168,33.2704175306,-0.0595354139805,0.0595357902348,-0.611914753914,1,1.70528435707,-0.173662602901,168.967102051,-6.04222393036,-17.8805027008
-0.0320131257176,40.3338813782,24.9899997711,0.393034338951,34.9073967101,-0.0208918564022,0.0208919867873,-0.196369573474,1,1.78712463379,-0.178154319525,164.562011719,-1.73030543327,-17.8289337158
-0.00511798355728,41.0614852905,24.9899997711,0.314451634884,35.6392318655,-0.0083684027195,0.00836845580488,-0.0789753571153,1,1.79726421833,-0.17827796936,162.393615723,0.409771054983,-17.3897266388
0.0367001183331,42.1905708313,24.9899997711,0.192508429289,36.7748833542,0.0107200331986,-0.0107200983912,0.099924698472,1,1.81156432629,-0.178469866514,159.023345947,3.7060983181,-16.7102165222
0.0637719333172,42.639125824,24.9899997711,0.144447207451,37.2260058016,0.014660956338,-0.0146610466763,0.136922389269,1,1.80360174179,-0.178222745657,156.656311035,6.05514144897,-16.1653938293
0.105752959847,43.3351898193,24.9899997711,0.0698666423559,37.9260539044,0.0204920154065,-0.0204921383411,0.191718369722,1,1.79037499428,-0.177839308977,152.989379883,9.67443275452,-15.3233642578
0.121261715889,43.5918579102,24.9899997711,0.0424870960414,38.1841781931,0.0214400161058,-0.021440140903,0.200752452016,1,1.77440440655,-0.177751198411,151.58631897,11.0386323929,-15.0142221451
0.142949998379,43.9901542664,24.9899997711,0,38.5847342325,0.0222844965756,-0.0222846288234,-0.208906039596,1,-0.83699131012,-0.032776799053,149.597183228,13.4362134933,14.524600029
