"Area","BL_Thickness","BL_streamline_length","Cp","Mach_Number","Normalized_Vorticity","Points:0","Points:1","Points:2","Separation_marker","Transition_marker","Velocity","Vx","Vy","Vz","X","Y","Z","arc_length","skin_friction_coeff."
0.000217690059799,0,0.00213810568675,0.135312005877,0.630229473114,-56.0986328125,0.688969552517,1.18400001526,0.00562824308872,0,0,210.138504028,160.049285889,80.1602935791,57.2735023499,0.688969552517,1.18400001526,0.00562824308872,0,0
0.000241992805968,1.6209821041e-08,0.00374919967726,-0.149844899774,0.738065063953,-56.4398231506,0.690075933933,1.18400001526,0.0083362525329,0,0,247.172958374,205.695892334,61.0012321472,100.203483582,0.690075933933,1.18400001526,0.0083362525329,0.00292530254643,3.09186657432e-06
0.000260894652456,1.44928844747e-06,0.0115700103343,-0.337443768978,0.806578814983,-59.4507637024,0.700522303581,1.18400001526,0.0118289338425,0,0,273.043518066,257.549163818,31.6299571991,80.7036590576,0.700522303581,1.18400001526,0.0118289338425,0.0139400863188,2.84820143861e-05
0.000277544080745,2.22364042202e-06,0.0171659290791,-0.347613036633,0.809673905373,-60.6153068542,0.704952120781,1.18400001526,0.0132748540491,0,0,275.087310791,266.191802979,26.2252254486,60.0616760254,0.704952120781,1.18400001526,0.0132748540491,0.0185999109579,3.64334737242e-05
0.000274968537269,3.40705832969e-06,0.0293801166117,-0.290061593056,0.79204505682,-64.2223892212,0.717870533466,1.18400001526,0.0151439700276,0,0,269.459686279,265.819732666,20.7313899994,38.6867828369,0.717870533466,1.18400001526,0.0151439700276,0.0316528409298,4.01149918616e-05
0.000276380014839,3.89415072277e-06,0.0353868044913,-0.294626891613,0.793461620808,-65.3382797241,0.722643196583,1.18400001526,0.0158021505922,0,0,269.991119385,266.948242188,19.4345188141,35.0038414001,0.722643196583,1.18400001526,0.0158021505922,0.0364706739363,3.54656694981e-05
0.000311841577059,4.70509667139e-06,0.0481703467667,-0.306001484394,0.79719799757,-68.7248687744,0.735715091228,1.18400001526,0.0172044970095,0,0,271.280578613,269.244140625,16.805021286,28.3903903961,0.735715091228,1.18400001526,0.0172044970095,0.0496175749058,2.50482007687e-05
0.000275471829809,5.6900466916e-06,0.0607592128217,-0.242512822151,0.776781797409,-72.1490249634,0.748818814754,1.18400001526,0.0183464176953,0,0,264.333099365,262.750823975,14.7707824707,24.480846405,0.748818814754,1.18400001526,0.0183464176953,0.0627709605193,1.79285889317e-05
0.000275499100098,5.77216815145e-06,0.0669889748096,-0.23717059195,0.775172650814,-73.1877212524,0.753695487976,1.18400001526,0.0187635254115,0,0,263.785522461,262.426879883,13.4622497559,22.7113456726,0.753695487976,1.18400001526,0.0187635254115,0.067665439098,1.47019882206e-05
0.000310692907078,7.3859373515e-06,0.0801035836339,-0.284888803959,0.790742814541,-76.6038665771,0.766862571239,1.18400001526,0.0196483079344,0,0,269.08392334,268.134552002,11.6566610336,19.1660709381,0.766862571239,1.18400001526,0.0196483079344,0.0808622160446,1.15958318929e-05
0.000275163503829,8.10901292425e-06,0.0925054848194,-0.243067696691,0.776766479015,-80.0342788696,0.780032038689,1.18400001526,0.0203769821674,0,0,264.327880859,263.557830811,9.8000869751,17.2923812866,0.780032038689,1.18400001526,0.0203769821674,0.0940518270712,1.39799140015e-05
0.000275168626104,7.6396854638e-06,0.0986799523234,-0.265830367804,0.783640027046,-81.0680770874,0.784925162792,1.18400001526,0.0206469111145,0,0,266.666900635,265.965667725,8.87532043457,16.780916214,0.784925162792,1.18400001526,0.0206469111145,0.0989523908275,1.09873253678e-05
0.000275198137388,8.44402075018e-06,0.111139953136,-0.255010247231,0.780012965202,-84.7180252075,0.798113942146,1.18400001526,0.0212053023279,0,0,265.432617188,264.907531738,7.01700258255,14.6703081131,0.798113942146,1.18400001526,0.0212053023279,0.112152985572,8.99305086932e-06
0.000275394762866,8.33028479974e-06,0.117058880627,-0.233924806118,0.773673176765,-85.7311935425,0.803033292294,1.18400001526,0.0214047562331,0,0,263.275238037,262.848388672,5.924680233,13.1599693298,0.803033292294,1.18400001526,0.0214047562331,0.117076377465,1.14820404633e-05
0.000310176837957,9.64627179201e-06,0.13023070991,-0.266969025135,0.785206079483,-89.1846008301,0.816256165504,1.18400001526,0.021810086444,0,0,267.199829102,266.945587158,4.7240319252,10.2609682083,0.816256165504,1.18400001526,0.021810086444,0.130305461655,9.04046555661e-06
0.000275554368272,1.07320056486e-05,0.142774045467,-0.189870238304,0.759952604771,-92.5986633301,0.829493045807,1.18400001526,0.0220955833793,0,0,258.606231689,258.42086792,2.83859586716,8.627866745,0.829493045807,1.18400001526,0.0220955833793,0.143545420441,7.81338167144e-06
0.000275515660178,9.94872243609e-06,0.148677125573,-0.190609678626,0.760184943676,-93.6006774902,0.834443032742,1.18400001526,0.0221966113895,0,0,258.685302734,258.533294678,1.8498146534,7.63560962677,0.834443032742,1.18400001526,0.0221966113895,0.148496438247,3.17409512718e-06
0.000309965282213,1.17429681268e-05,0.161662429571,-0.250385671854,0.78006452322,-96.9800033569,0.847677230835,1.18400001526,0.0223232246935,0,0,265.450195312,265.386535645,0.908259093761,4.6676530838,0.847677230835,1.18400001526,0.0223232246935,0.161731241989,1.9251726826e-06
0.000275567232165,1.21385164675e-05,0.173987388611,-0.21285200119,0.767244756222,-100.380050659,0.860913991928,1.18400001526,0.0223186984658,0,0,261.08770752,261.034179688,-0.691546916962,3.25579357147,0.860913991928,1.18400001526,0.0223186984658,0.174968003856,8.50432934385e-06
