"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
-2.48321080208,65.5003051758,46.5,0,0,1,65.6965332031,0,196.391021729,-40.2972450256,2.11801695824
-0.468577623367,65.3377075195,46.5,-0.0173308793455,0.163518675376,1,65.5597610474,0,99.8514862061,59.1238670349,1.52353155613
-0.659343779087,65.1658706665,46.5,-0.0356464646757,0.336328873931,1,65.3791656494,0,122.296669006,38.8150444031,8.89736270905
-0.281931966543,64.8661117554,46.5,-0.0676718205214,0.637793678212,1,65.092666626,0,173.064254761,24.4264240265,15.8875789642
-0.269310235977,64.549331665,46.5,-0.101516798139,0.956376647218,1,64.7713088989,0,172.274719238,26.2900905609,15.6347818375
-0.0760862603784,64.0199966431,46.5,-0.158317044377,1.48875041954,1,64.2277832031,0,167.370697021,9.7880153656,16.9182472229
-0.0807076320052,63.4605827332,46.5,-0.218344569206,2.05137571789,1,63.6589775085,0,167.776077271,9.21966171265,17.0728816986
-0.0639138147235,62.5932006836,46.5,-0.312045097351,2.92380417276,1,62.7512893677,0,167.120437622,3.23647403717,17.6048812866
-0.0725998282433,61.6765289307,46.5,-0.411069482565,3.84580901629,1,61.8089752197,0,167.822998047,2.01099705696,17.7696819305
-0.0783612206578,60.4152793884,46.5,-0.54517865181,5.11416845946,1,60.48985672,0,168.34703064,-0.306523472071,17.4112319946
-0.0966769382358,59.0823707581,46.5,-0.686907589436,6.45459097071,1,59.101234436,0,169.820022583,-1.64904665947,17.0016040802
-0.122444331646,57.53282547,46.5,-0.829775750637,8.01070854703,1,57.4593315125,0,171.938369751,-3.43972945213,14.8876752853
-0.154101222754,55.895236969,46.5,-0.980761349201,9.65524275144,1,55.7177314758,0,174.487030029,-5.48844432831,12.6518983841
-0.174666762352,54.2527084351,46.5,-1.06216514111,11.2997872361,1,53.9253540039,0,176.161727905,-6.46696329117,6.57798576355
-0.195110440254,52.6984863281,46.5,-1.13919246197,12.8559169113,1,52.2384567261,0,177.84576416,-6.92689466476,0.911303877831
-0.184235483408,51.3594818115,46.5,-1.0876326561,14.195913743,1,50.7636070251,0,176.732513428,-5.75444173813,-7.34160995483
-0.179622516036,50.092464447,46.5,-1.03884494305,15.4638700683,1,49.3701400757,0,176.101898193,-4.36489057541,-15.021905899
