"C_p_2nd","C_p_ise","C_p_lin","C_p_sln","Phi_u","Points:0","Points:1","Points:2","arc_length","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","inclination","mu","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2"
0.202721953392,0.000475929671666,0.267629951239,0.00352017721161,0.0149762760848,0.015630768612,0,-0.00410420680419,0,0.0177148710936,-0.000278763851384,-0.00416900310665,-2.18324860413e-08,3.61854155528e-08,9.45921527773e-08,1,-0.00260833883658,-0.199923887849,-0.0308536030352,-0.966830134392,0,902.280151367,-8.35455513,-466.680999756
0.357245475054,-0.103676065803,0.472477793694,-0.0892250537872,-1.5133907853e-13,0,0,0,0.0161606138774,0.010420512408,0,0,-2.69829456556e-07,0,0,1,-1.5133907853e-13,-0.251035004854,0,0,0,795.58807373,3.81469732247e-07,0
0.202721953392,0.000475929671666,0.267629951239,0.00352017721161,0.0149762760848,0.015630768612,0,0.00410420680419,0.0323212277548,0.0177148710936,0.000278763851384,0.00416900310665,-2.18324860413e-08,-3.61854155528e-08,-9.45921527773e-08,1,-0.00260833883658,-0.199923887849,0.0308536030352,0.966830134392,0,902.280151367,8.35455703735,466.680999756
0.0827041864395,0.0622315518558,0.108705714345,0.0580704659224,0.0302566029131,0.0312615372241,0,0.00676574045792,0.0481769739937,0.0312615372241,0.00016754140961,0.00652242638171,1.54658039264e-07,-1.29518946679e-08,-9.90662783806e-07,1,-0.00491262692958,-0.152324303985,0.00010871142149,0.976068973541,0,985.053588867,-1.84096467495,228.872833252
0.0569754317403,0.0486401990056,0.0749593004584,0.0454782955348,0.0456256344914,0.0468923076987,0,0.00898378528655,0.0639643331298,0.0468923076987,0.000142434539157,0.00872598681599,1.38409404826e-07,-6.1997531553e-09,-1.03982233668e-06,1,-0.00712821306661,-0.129937514663,6.05558343523e-05,0.979275107384,0,1002.62988281,-0.966131865978,175.702911377
0.0437023341656,0.039313994348,0.057237803936,0.037069760263,0.0610512457788,0.0625230744481,0,0.0109140910208,0.0797138394523,0.0625230744481,0.00012501879246,0.0106290988624,1.19933716292e-07,-4.422943789e-09,-1.02778028577e-06,1,-0.00928721670061,-0.114277198911,4.0781993448e-05,0.981194615364,0,1011.85986328,-0.621229171753,145.636291504
0.0347228944302,0.0321478880942,0.0452924482524,0.0305571071804,0.0765040442348,0.0781538486481,0,0.0126249082386,0.0954379609745,0.0781538486481,0.000111255561933,0.0123109668493,1.01266344643e-07,-6.44265696348e-10,-9.72956513579e-07,1,-0.0114190308377,-0.101837232709,3.01127638522e-05,0.982537448406,0,1018.0814209,-0.492432922125,124.54209137
0.0272992290556,0.0257685631514,0.0357592999935,0.0247110128403,0.0919938609004,0.0937846153975,0,0.0141543662176,0.111143377584,0.0937846153975,9.96316666715e-05,0.0138123966753,8.16269505322e-08,-5.20330445397e-11,-8.76174397035e-07,1,-0.0135138342157,-0.0912922620773,2.3444494218e-05,0.983551859856,0,1023.04663086,-0.386446326971,107.89491272
0.0212706848979,0.0203467309475,0.0280896313488,0.0196645390242,0.107508301735,0.109415382147,0,0.0155266430229,0.126834267068,0.109415382147,8.94071054063e-05,0.015158415772,6.35864410015e-08,2.12998330085e-09,-7.58884766583e-07,1,-0.0155840059742,-0.0819906294346,1.88673529919e-05,0.984353244305,0,1027.04125977,-0.335399150848,94.2221603394
0.0159899722785,0.0154490927234,0.0215014517307,0.0150492116809,0.123052723706,0.125046148896,0,0.0167583134025,0.142513485196,0.125046148896,8.01628120826e-05,0.0163658894598,4.67796645864e-08,2.17666129565e-09,-6.22491597824e-07,1,-0.0176241975278,-0.0735620334744,1.55046582222e-05,0.985004246235,0,1030.47265625,-0.285263866186,82.4661560059
0.011370816268,0.0110664218664,0.0157960411161,0.0108553692698,0.138619259,0.140676930547,0,0.0178613532335,0.158183138411,0.140676915646,7.16377981007e-05,0.0174468811601,3.20370965312e-08,3.70255759385e-09,-4.74921534988e-07,1,-0.01964228414,-0.0657750219107,1.29093723444e-05,0.985542476177,0,1033.44421387,-0.259365081787,72.1504974365
0.00749470759183,0.00733620999381,0.0110056838021,0.00724504329264,0.154212445021,0.156307697296,0,0.0188447348773,0.173844808457,0.156307697296,6.36575059616e-05,0.0184103660285,1.99355003616e-08,2.60757748727e-09,-3.32467777753e-07,1,-0.0216337144375,-0.0584746226668,1.08256936073e-05,0.985992074013,0,1035.93920898,-0.226538658142,62.946975708
0.00453107664362,0.00445339316502,0.00725835328922,0.0044190697372,0.16982126236,0.171938464046,0,0.0197153538465,0.189499802758,0.171938464046,5.60991647944e-05,0.0192632172257,1.12470983638e-08,3.12697578941e-09,-2.10910670262e-07,1,-0.0236095041037,-0.0515514425933,9.09467507881e-06,0.986369371414,0,1037.89099121,-0.210048511624,54.6774635315
