 method
 GMRES
 N=        1241
 iteration,||err||
     1, 1.443E-08
     2, 1.105E-09
     3, 1.943E-10
     4, 8.237E-11
     5, 4.685E-11
     6, 3.029E-11
     7, 2.186E-11
     8, 1.677E-11
     9, 1.387E-11
    10, 1.229E-11
    11, 1.077E-11
    12, 7.608E-12
    13, 2.361E-12
    14, 9.740E-13
