 method
 GMRES
 N=        1127
 iteration,||err||
     1, 4.311E-02
     2, 1.318E-02
     3, 5.830E-03
     4, 2.506E-03
     5, 6.577E-04
     6, 4.469E-05
     7, 4.552E-06
     8, 6.997E-07
     9, 1.211E-07
    10, 8.174E-09
    11, 2.561E-09
    12, 6.832E-10
    13, 1.536E-10
    14, 1.011E-11
    15, 2.171E-12
    16, 2.602E-13
