 method
 GMRES
 N=        5541
 iteration,||err||
   289, 1.385E-05
   290, 1.369E-05
   291, 1.358E-05
   292, 1.350E-05
   293, 1.340E-05
   294, 1.322E-05
   295, 1.289E-05
   296, 1.227E-05
   297, 1.117E-05
   298, 9.477E-06
   299, 7.307E-06
   300, 5.179E-06
   301, 3.430E-06
   302, 2.231E-06
   303, 1.416E-06
   304, 9.042E-07
   305, 5.760E-07
   306, 3.812E-07
   307, 2.642E-07
   308, 1.991E-07
   309, 1.613E-07
   310, 1.436E-07
   311, 1.376E-07
   312, 1.359E-07
   313, 1.357E-07
   314, 1.357E-07
   315, 1.357E-07
   316, 1.356E-07
   317, 1.356E-07
   318, 1.356E-07
   319, 1.355E-07
   320, 1.355E-07
   321, 1.355E-07
   322, 1.354E-07
   323, 1.354E-07
   324, 1.352E-07
   325, 1.348E-07
   326, 1.345E-07
   327, 1.344E-07
   328, 1.344E-07
   329, 1.344E-07
   330, 1.343E-07
   331, 1.342E-07
   332, 1.341E-07
   333, 1.340E-07
   334, 1.340E-07
   335, 1.338E-07
   336, 1.325E-07
   337, 1.292E-07
   338, 1.214E-07
   339, 1.100E-07
   340, 9.960E-08
   341, 9.204E-08
   342, 8.855E-08
   343, 8.724E-08
   344, 8.720E-08
   345, 8.715E-08
   346, 8.711E-08
   347, 8.710E-08
   348, 8.707E-08
   349, 8.694E-08
   350, 8.677E-08
   351, 8.665E-08
   352, 8.650E-08
   353, 8.643E-08
   354, 8.643E-08
   355, 8.639E-08
   356, 8.623E-08
   357, 8.603E-08
   358, 8.484E-08
   359, 8.206E-08
   360, 7.842E-08
   361, 7.649E-08
   362, 7.631E-08
   363, 7.629E-08
   364, 7.625E-08
   365, 7.624E-08
   366, 7.623E-08
   367, 7.623E-08
   368, 7.621E-08
   369, 7.610E-08
   370, 7.554E-08
   371, 7.338E-08
   372, 7.038E-08
   373, 6.661E-08
   374, 6.408E-08
   375, 6.303E-08
   376, 6.282E-08
   377, 6.282E-08
   378, 6.279E-08
   379, 6.278E-08
   380, 6.278E-08
   381, 6.277E-08
   382, 6.268E-08
   383, 6.243E-08
   384, 6.214E-08
   385, 6.201E-08
   386, 6.191E-08
   387, 6.189E-08
   388, 6.165E-08
   389, 6.080E-08
   390, 5.874E-08
   391, 5.556E-08
   392, 5.223E-08
   393, 5.023E-08
   394, 4.924E-08
   395, 4.885E-08
   396, 4.874E-08
   397, 4.870E-08
   398, 4.869E-08
   399, 4.868E-08
   400, 4.864E-08
   401, 4.855E-08
   402, 4.838E-08
   403, 4.808E-08
   404, 4.766E-08
   405, 4.742E-08
   406, 4.735E-08
   407, 4.733E-08
   408, 4.732E-08
   409, 4.730E-08
   410, 4.728E-08
   411, 4.727E-08
   412, 4.727E-08
   413, 4.725E-08
   414, 4.721E-08
   415, 4.716E-08
   416, 4.709E-08
   417, 4.689E-08
   418, 4.632E-08
   419, 4.476E-08
   420, 4.140E-08
   421, 3.679E-08
   422, 3.302E-08
   423, 3.097E-08
   424, 3.008E-08
   425, 2.969E-08
   426, 2.957E-08
   427, 2.953E-08
   428, 2.952E-08
   429, 2.952E-08
   430, 2.950E-08
   431, 2.940E-08
   432, 2.916E-08
   433, 2.878E-08
   434, 2.839E-08
   435, 2.814E-08
   436, 2.802E-08
   437, 2.799E-08
   438, 2.798E-08
   439, 2.798E-08
   440, 2.798E-08
   441, 2.798E-08
   442, 2.798E-08
   443, 2.797E-08
   444, 2.796E-08
   445, 2.793E-08
   446, 2.785E-08
   447, 2.766E-08
   448, 2.733E-08
   449, 2.690E-08
   450, 2.648E-08
   451, 2.620E-08
   452, 2.607E-08
   453, 2.601E-08
   454, 2.597E-08
   455, 2.595E-08
   456, 2.593E-08
   457, 2.591E-08
   458, 2.590E-08
   459, 2.589E-08
   460, 2.589E-08
   461, 2.589E-08
   462, 2.589E-08
   463, 2.586E-08
   464, 2.583E-08
   465, 2.581E-08
   466, 2.580E-08
   467, 2.580E-08
   468, 2.580E-08
   469, 2.580E-08
   470, 2.580E-08
   471, 2.578E-08
   472, 2.577E-08
   473, 2.574E-08
   474, 2.568E-08
   475, 2.556E-08
   476, 2.531E-08
   477, 2.498E-08
   478, 2.477E-08
   479, 2.465E-08
   480, 2.461E-08
   481, 2.458E-08
   482, 2.456E-08
   483, 2.453E-08
   484, 2.448E-08
   485, 2.432E-08
   486, 2.405E-08
   487, 2.369E-08
   488, 2.330E-08
   489, 2.305E-08
   490, 2.292E-08
   491, 2.288E-08
   492, 2.286E-08
   493, 2.286E-08
   494, 2.286E-08
   495, 2.286E-08
   496, 2.285E-08
   497, 2.285E-08
   498, 2.285E-08
   499, 2.285E-08
   500, 2.285E-08
   501, 2.285E-08
   502, 2.285E-08
   503, 2.285E-08
   504, 2.285E-08
   505, 2.285E-08
   506, 2.285E-08
   507, 2.285E-08
   508, 2.285E-08
   509, 2.285E-08
   510, 2.285E-08
   511, 2.285E-08
   512, 2.285E-08
   513, 2.285E-08
   514, 2.285E-08
   515, 2.285E-08
   516, 2.284E-08
   517, 2.283E-08
   518, 2.282E-08
   519, 2.278E-08
   520, 2.268E-08
   521, 2.255E-08
   522, 2.235E-08
   523, 2.219E-08
   524, 2.213E-08
   525, 2.211E-08
   526, 2.209E-08
   527, 2.209E-08
   528, 2.209E-08
   529, 2.209E-08
   530, 2.209E-08
   531, 2.209E-08
   532, 2.209E-08
   533, 2.209E-08
   534, 2.209E-08
   535, 2.209E-08
   536, 2.209E-08
   537, 2.209E-08
   538, 2.209E-08
   539, 2.209E-08
   540, 2.209E-08
   541, 2.209E-08
   542, 2.209E-08
   543, 2.209E-08
   544, 2.208E-08
   545, 2.208E-08
   546, 2.207E-08
   547, 2.205E-08
   548, 2.204E-08
   549, 2.203E-08
   550, 2.202E-08
   551, 2.202E-08
   552, 2.202E-08
   553, 2.202E-08
   554, 2.202E-08
   555, 2.201E-08
   556, 2.200E-08
   557, 2.197E-08
   558, 2.190E-08
   559, 2.172E-08
   560, 2.139E-08
   561, 2.100E-08
   562, 2.071E-08
   563, 2.057E-08
   564, 2.051E-08
   565, 2.048E-08
   566, 2.047E-08
   567, 2.046E-08
   568, 2.044E-08
   569, 2.038E-08
   570, 2.026E-08
   571, 2.003E-08
   572, 1.958E-08
   573, 1.902E-08
   574, 1.868E-08
   575, 1.855E-08
   576, 1.848E-08
   577, 1.846E-08
   578, 1.845E-08
   579, 1.844E-08
   580, 1.844E-08
   581, 1.844E-08
   582, 1.844E-08
   583, 1.844E-08
   584, 1.844E-08
   585, 1.844E-08
   586, 1.844E-08
   587, 1.844E-08
   588, 1.844E-08
   589, 1.844E-08
   590, 1.843E-08
   591, 1.843E-08
   592, 1.843E-08
   593, 1.843E-08
   594, 1.843E-08
   595, 1.843E-08
   596, 1.843E-08
   597, 1.843E-08
   598, 1.843E-08
   599, 1.843E-08
   600, 1.843E-08
   601, 1.843E-08
   602, 1.843E-08
   603, 1.843E-08
   604, 1.843E-08
   605, 1.843E-08
   606, 1.843E-08
   607, 1.843E-08
   608, 1.843E-08
   609, 1.843E-08
   610, 1.843E-08
   611, 1.843E-08
   612, 1.843E-08
   613, 1.843E-08
   614, 1.843E-08
   615, 1.843E-08
   616, 1.843E-08
   617, 1.843E-08
   618, 1.842E-08
   619, 1.840E-08
   620, 1.833E-08
   621, 1.816E-08
   622, 1.772E-08
   623, 1.715E-08
   624, 1.681E-08
   625, 1.666E-08
   626, 1.662E-08
   627, 1.660E-08
   628, 1.660E-08
   629, 1.659E-08
   630, 1.659E-08
   631, 1.659E-08
   632, 1.659E-08
   633, 1.659E-08
   634, 1.659E-08
   635, 1.659E-08
   636, 1.659E-08
   637, 1.659E-08
   638, 1.659E-08
   639, 1.659E-08
   640, 1.659E-08
   641, 1.659E-08
   642, 1.658E-08
   643, 1.656E-08
   644, 1.651E-08
   645, 1.636E-08
   646, 1.606E-08
   647, 1.551E-08
   648, 1.471E-08
   649, 1.411E-08
   650, 1.374E-08
   651, 1.358E-08
   652, 1.349E-08
   653, 1.346E-08
   654, 1.344E-08
   655, 1.343E-08
   656, 1.343E-08
   657, 1.343E-08
   658, 1.343E-08
   659, 1.343E-08
   660, 1.343E-08
   661, 1.343E-08
   662, 1.343E-08
   663, 1.343E-08
   664, 1.343E-08
   665, 1.343E-08
   666, 1.343E-08
   667, 1.343E-08
   668, 1.343E-08
   669, 1.342E-08
   670, 1.341E-08
   671, 1.338E-08
   672, 1.330E-08
   673, 1.315E-08
   674, 1.299E-08
   675, 1.290E-08
   676, 1.285E-08
   677, 1.283E-08
   678, 1.282E-08
   679, 1.282E-08
   680, 1.282E-08
   681, 1.282E-08
   682, 1.282E-08
   683, 1.282E-08
   684, 1.282E-08
   685, 1.282E-08
   686, 1.282E-08
   687, 1.282E-08
   688, 1.282E-08
   689, 1.282E-08
   690, 1.282E-08
   691, 1.282E-08
   692, 1.282E-08
   693, 1.282E-08
   694, 1.281E-08
   695, 1.278E-08
   696, 1.269E-08
   697, 1.255E-08
   698, 1.236E-08
   699, 1.222E-08
   700, 1.214E-08
   701, 1.210E-08
   702, 1.209E-08
   703, 1.208E-08
   704, 1.208E-08
   705, 1.207E-08
   706, 1.207E-08
   707, 1.207E-08
   708, 1.207E-08
   709, 1.207E-08
   710, 1.207E-08
   711, 1.207E-08
   712, 1.207E-08
   713, 1.207E-08
   714, 1.207E-08
   715, 1.206E-08
   716, 1.205E-08
   717, 1.202E-08
   718, 1.193E-08
   719, 1.177E-08
   720, 1.160E-08
   721, 1.150E-08
   722, 1.145E-08
   723, 1.143E-08
   724, 1.143E-08
   725, 1.142E-08
   726, 1.142E-08
   727, 1.142E-08
   728, 1.142E-08
   729, 1.142E-08
   730, 1.142E-08
   731, 1.142E-08
   732, 1.142E-08
   733, 1.142E-08
   734, 1.142E-08
   735, 1.142E-08
   736, 1.142E-08
   737, 1.142E-08
   738, 1.142E-08
   739, 1.142E-08
   740, 1.141E-08
   741, 1.139E-08
   742, 1.134E-08
   743, 1.124E-08
   744, 1.115E-08
   745, 1.110E-08
   746, 1.106E-08
   747, 1.106E-08
   748, 1.105E-08
   749, 1.105E-08
   750, 1.105E-08
   751, 1.105E-08
   752, 1.105E-08
   753, 1.105E-08
   754, 1.105E-08
   755, 1.105E-08
   756, 1.105E-08
   757, 1.105E-08
   758, 1.105E-08
   759, 1.105E-08
   760, 1.105E-08
   761, 1.105E-08
   762, 1.105E-08
   763, 1.105E-08
   764, 1.105E-08
   765, 1.105E-08
   766, 1.105E-08
   767, 1.105E-08
   768, 1.105E-08
   769, 1.105E-08
   770, 1.105E-08
   771, 1.105E-08
   772, 1.105E-08
   773, 1.105E-08
   774, 1.105E-08
   775, 1.105E-08
   776, 1.104E-08
   777, 1.104E-08
   778, 1.104E-08
   779, 1.104E-08
   780, 1.104E-08
   781, 1.104E-08
   782, 1.104E-08
   783, 1.104E-08
   784, 1.104E-08
   785, 1.103E-08
   786, 1.099E-08
   787, 1.091E-08
   788, 1.084E-08
   789, 1.073E-08
   790, 1.060E-08
   791, 1.056E-08
   792, 1.054E-08
   793, 1.053E-08
   794, 1.053E-08
   795, 1.053E-08
   796, 1.053E-08
   797, 1.053E-08
   798, 1.053E-08
   799, 1.053E-08
   800, 1.053E-08
   801, 1.053E-08
   802, 1.053E-08
   803, 1.053E-08
   804, 1.053E-08
   805, 1.053E-08
   806, 1.052E-08
   807, 1.051E-08
   808, 1.047E-08
   809, 1.032E-08
   810, 1.010E-08
   811, 9.925E-09
   812, 9.821E-09
   813, 9.787E-09
   814, 9.773E-09
   815, 9.766E-09
   816, 9.763E-09
   817, 9.763E-09
   818, 9.763E-09
   819, 9.763E-09
   820, 9.763E-09
   821, 9.763E-09
   822, 9.762E-09
   823, 9.762E-09
   824, 9.762E-09
   825, 9.762E-09
   826, 9.761E-09
   827, 9.760E-09
   828, 9.760E-09
   829, 9.753E-09
   830, 9.739E-09
   831, 9.707E-09
   832, 9.635E-09
   833, 9.553E-09
   834, 9.497E-09
   835, 9.462E-09
   836, 9.448E-09
   837, 9.446E-09
   838, 9.443E-09
   839, 9.442E-09
   840, 9.442E-09
   841, 9.442E-09
   842, 9.442E-09
   843, 9.442E-09
   844, 9.442E-09
   845, 9.442E-09
   846, 9.442E-09
   847, 9.442E-09
   848, 9.442E-09
   849, 9.441E-09
   850, 9.441E-09
   851, 9.440E-09
   852, 9.437E-09
   853, 9.425E-09
   854, 9.402E-09
   855, 9.385E-09
   856, 9.379E-09
   857, 9.377E-09
   858, 9.376E-09
   859, 9.376E-09
   860, 9.376E-09
   861, 9.376E-09
   862, 9.375E-09
   863, 9.375E-09
   864, 9.375E-09
   865, 9.374E-09
   866, 9.374E-09
   867, 9.374E-09
   868, 9.373E-09
   869, 9.373E-09
   870, 9.372E-09
   871, 9.371E-09
   872, 9.354E-09
   873, 9.322E-09
   874, 9.220E-09
   875, 8.855E-09
   876, 8.289E-09
   877, 7.964E-09
   878, 7.835E-09
   879, 7.800E-09
   880, 7.791E-09
   881, 7.785E-09
   882, 7.783E-09
   883, 7.782E-09
   884, 7.781E-09
   885, 7.781E-09
   886, 7.781E-09
   887, 7.781E-09
   888, 7.781E-09
   889, 7.781E-09
   890, 7.781E-09
   891, 7.781E-09
   892, 7.780E-09
   893, 7.779E-09
   894, 7.777E-09
   895, 7.765E-09
   896, 7.748E-09
   897, 7.704E-09
   898, 7.595E-09
   899, 7.444E-09
   900, 7.339E-09
   901, 7.307E-09
   902, 7.297E-09
   903, 7.293E-09
   904, 7.292E-09
   905, 7.292E-09
   906, 7.292E-09
   907, 7.292E-09
   908, 7.292E-09
   909, 7.292E-09
   910, 7.291E-09
   911, 7.291E-09
   912, 7.291E-09
   913, 7.291E-09
   914, 7.291E-09
   915, 7.291E-09
   916, 7.290E-09
   917, 7.287E-09
   918, 7.279E-09
   919, 7.264E-09
   920, 7.244E-09
   921, 7.237E-09
   922, 7.236E-09
   923, 7.235E-09
   924, 7.235E-09
   925, 7.235E-09
   926, 7.235E-09
   927, 7.234E-09
   928, 7.234E-09
   929, 7.234E-09
   930, 7.234E-09
   931, 7.234E-09
   932, 7.234E-09
   933, 7.234E-09
   934, 7.233E-09
   935, 7.233E-09
   936, 7.230E-09
   937, 7.223E-09
   938, 7.199E-09
   939, 7.147E-09
   940, 7.004E-09
   941, 6.725E-09
   942, 6.371E-09
   943, 6.214E-09
   944, 6.181E-09
   945, 6.173E-09
   946, 6.170E-09
   947, 6.170E-09
   948, 6.170E-09
   949, 6.170E-09
   950, 6.170E-09
   951, 6.170E-09
   952, 6.170E-09
   953, 6.169E-09
   954, 6.169E-09
   955, 6.169E-09
   956, 6.169E-09
   957, 6.169E-09
   958, 6.169E-09
   959, 6.169E-09
   960, 6.167E-09
   961, 6.162E-09
   962, 6.156E-09
   963, 6.150E-09
   964, 6.146E-09
