x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,CP_6,x/l_7,Cp_7
0.9503,0.114,0.94937,0.134,0.94999,0.139,0.94987,0.138,0.94977,0.13,0.94953,0.114,0.94946,0.065
0.81597,-0.031,0.81705,-0.011,0.81986,-0.003,0.82223,-0.002,0.84954,0.028,0.84934,0.023,0.84958,-0.003
0.66593,-0.108,0.66698,-0.095,0.67008,-0.094,0.67216,-0.094,0.75003,-0.044,0.74963,-0.041,0.75002,-0.054
0.56588,-0.155,0.56705,-0.15,0.57033,-0.14,0.5723,-0.141,0.64988,-0.095,0.6498,-0.094,0.64957,-0.09
0.46599,-0.19,0.46706,-0.175,0.47037,-0.182,0.4722,-0.184,0.54983,-0.18,0.54955,-0.127,0.54967,-0.122
0.3658,-0.17,0.36705,-0.159,0.37009,-0.183,0.37235,-0.173,0.4499,-0.178,0.44998,-0.171,0.4497,-0.154
0.26579,-0.141,0.26705,-0.126,0.2701,-0.13,0.2723,-0.141,0.35016,-0.172,0.3499,-0.165,0.34973,-0.156
0.16594,-0.08,0.16699,-0.093,0.1701,-0.075,0.17242,-0.078,0.25012,-0.149,0.24997,-0.165,0.24976,-0.15
0.04993,-0.038,0.04909,-0.011,0.05016,0.039,0.05017,0.019,0.15054,-0.092,0.15016,-0.138,0.14996,-0.145
0.02002,-0.021,0.01922,0.037,0.0201,0.097,0.01999,0.103,0.10029,-0.05,0.10019,-0.108,0.10039,-0.16
0.00593,0.546,0.0052,0.58,0.00591,0.62,0.00611,0.618,0.0655,0.001,0.06521,-0.075,0.06536,-0.16
0.00034,0.737,0.00031,0.703,0.00042,0.66,0,0.666,0.0403,-0.002,0.03999,-0.066,0.04025,-0.183
0.00216,0.304,0.00108,0.202,0.00222,0.097,0.0021,0.075,0.0203,0.067,0.01985,0.015,0.01985,-0.124
0.00866,-0.398,0.00789,-0.56,0.00914,-0.687,0.00893,-0.685,0.00587,0.602,0.00567,0.556,0.00578,0.374
0.02037,-0.985,0.01906,-1.27,0.02036,-1.401,0.02012,-1.491,0.00057,0.641,0.00068,0.614,0.0005,0.574
0.03525,-0.855,0.03402,-1.334,0.03508,-1.568,0.0353,-1.556,0.00184,-0.501,0.0019,0.016,0.00193,0.028
0.06036,-0.552,0.05911,-0.633,0.06022,-0.661,0.06011,-0.634,0.00626,-0.5,0.00623,-0.434,0.0063,-0.534
0.09959,-0.45,0.09913,-0.535,0.10029,-0.579,0.10019,-0.57,0.01228,-0.983,0.01209,-0.965,0.01265,-1.027
0.15037,-0.403,0.14927,-0.468,0.15032,-0.499,0.15024,-0.5,0.02006,-1.486,0.01983,-1.465,0.02012,-1.457
0.20044,-0.4,0.19909,-0.46,0.20029,-0.473,0.20016,-0.456,0.02988,-1.669,0.02991,-1.562,0.02999,-1.492
0.25039,-0.387,0.2508,-0.434,0.25024,-0.443,0.25021,-0.422,0.04966,-0.673,0.04972,-0.728,0.04995,-0.606
0.3005,-0.384,0.29925,-0.42,0.30008,-0.43,0.30021,-0.397,0.07448,-0.599,0.07488,-0.584,0.07482,-0.436
0.3505,-0.381,0.34927,-0.398,0.35024,-0.413,0.35015,-0.377,0.09994,-0.546,0.09991,-0.485,0.0999,-0.394
0.40047,-0.386,0.39931,-0.397,0.40037,-0.389,0.39977,-0.344,0.13986,-0.49,0.13983,-0.409,0.13976,-0.333
0.4503,-0.37,0.44897,-0.362,0.4501,-0.365,0.45009,-0.321,0.17979,-0.429,0.17999,-0.357,0.17991,-0.305
0.50039,-0.343,0.49927,-0.338,0.50024,-0.336,0.5002,-0.285,0.22001,-0.392,0.2201,-0.327,0.2199,-0.279
0.55025,-0.304,0.54927,-0.292,0.55042,-0.277,0.55033,-0.243,0.25964,-0.359,0.25996,-0.301,0.25976,-0.266
0.60029,-0.272,0.59931,-0.248,0.60071,-0.231,0.60018,-0.196,0.29988,-0.339,0.29994,-0.288,0.29986,-0.25
0.65032,-0.231,0.64917,-0.208,0.65026,-0.182,0.65015,-0.153,0.33985,-0.317,0.34008,-0.269,0.33979,-0.237
0.71026,-0.176,0.70897,-0.15,0.71034,-0.136,0.70977,-0.108,0.37986,-0.302,0.37994,-0.258,0.37976,-0.227
0.78026,-0.119,0.77912,-0.087,0.78008,-0.068,0.78012,-0.043,0.41959,-0.287,0.41988,-0.243,0.41988,-0.232
0.85021,-0.038,0.84903,-0.006,0.85001,0.014,0.8501,0.022,0.45975,-0.274,0.45976,-0.23,0.4597,-0.205
0.92027,0.063,0.91929,0.088,0.92012,0.102,0.92005,0.113,0.4996,-0.236,0.49994,-0.197,0.49987,-0.184
0.98518,0.178,0.98387,0.194,0.98611,0.205,0.98498,0.201,0.53959,-0.204,0.53988,-0.178,0.53975,-0.161
,,,,,,,,0.57961,-0.167,0.57991,-0.138,0.57985,-0.135
,,,,,,,,0.61987,-0.14,0.6197,-0.114,0.61976,-0.121
,,,,,,,,0.65968,-0.108,0.65979,-0.093,0.65966,-0.112
,,,,,,,,0.6997,-0.085,0.69976,-0.064,0.69979,-0.102
,,,,,,,,0.7394,-0.058,0.7397,-0.045,0.7398,-0.099
,,,,,,,,0.7796,-0.022,0.77962,-0.018,0.77942,-0.1
,,,,,,,,0.81937,0.017,0.81965,0.016,0.81985,-0.109
,,,,,,,,0.85955,0.053,0.8598,0.046,0.85943,-0.128
,,,,,,,,0.8994,0.093,0.89977,0.077,0.89961,-0.156
,,,,,,,,0.94227,0.148,0.94861,0.127,0.94959,-0.204
,,,,,,,,0.98506,0.201,0.98462,0.178,0.98455,-0.168
