x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.9503,0.108,0.94937,0.143,0.94999,0.157,0.94987,0.163,0.94977,0.163,0.94953,0.152,0.94946,0.133
0.81597,-0.097,0.81705,-0.05,0.81986,-0.026,0.82223,-0.008,0.84954,0.039,0.84934,0.045,0.84958,0.045
0.66593,-0.233,0.66698,-0.2,0.67008,-0.174,0.67216,-0.149,0.75003,-0.057,0.74963,-0.039,0.75002,-0.031
0.56588,-0.328,0.56705,-0.308,0.57033,-0.271,0.5723,-0.238,0.64988,-0.135,0.6498,-0.113,0.64957,-0.092
0.46599,-0.399,0.46706,-0.409,0.47037,-0.397,0.4722,-0.347,0.54983,-0.31,0.54955,-0.18,0.54967,-0.152
0.3658,-0.356,0.36705,-0.397,0.37009,-0.444,0.37235,-0.407,0.4499,-0.31,0.44998,-0.268,0.4497,-0.229
0.26579,-0.315,0.26705,-0.358,0.2701,-0.391,0.2723,-0.426,0.35016,-0.345,0.3499,-0.291,0.34973,-0.251
0.16594,-0.276,0.16699,-0.336,0.1701,-0.352,0.17242,-0.37,0.25012,-0.471,0.24997,-0.328,0.24976,-0.283
0.04993,-0.327,0.04909,-0.377,0.05016,-0.357,0.05017,-0.424,0.15054,-0.409,0.15016,-0.577,0.14996,-0.291
0.02002,-0.512,0.01922,-0.52,0.0201,-0.512,0.01999,-0.537,0.10029,-0.391,0.10019,-0.507,0.10039,-0.522
0.00593,0.278,0.0052,0.265,0.00591,0.295,0.00611,0.275,0.0655,-0.521,0.06521,-0.453,0.06536,-0.648
0.00034,0.84,0.00031,0.831,0.00042,0.822,0,0.813,0.0403,-0.52,0.03999,-0.601,0.04025,-0.79
0.00216,0.649,0.00108,0.622,0.00222,0.58,0.0021,0.562,0.0203,-0.563,0.01985,-0.573,0.01985,-0.672
0.00866,0.158,0.00789,0.084,0.00914,0.019,0.00893,0.016,0.00587,0.276,0.00567,-0.22,0.00578,0.1
0.02037,-0.355,0.01906,-0.459,0.02036,-0.535,0.02012,-0.61,0.00057,0.803,0.00068,-0.772,0.0005,0.71
0.03525,-0.391,0.03402,-0.47,0.03508,-0.567,0.0353,-0.605,0.00184,0.155,0.0019,-0.495,0.00193,0.46
