x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.9503,0.112,0.94937,0.13,0.94999,0.14,0.94987,0.143,0.94977,0.139,0.94953,0.122,0.94946,0.085
0.81597,-0.045,0.81705,-0.019,0.81986,-0.012,0.82223,-0.007,0.84954,0.031,0.84934,0.027,0.84958,0.014
0.66593,-0.124,0.66698,-0.114,0.67008,-0.111,0.67216,-0.106,0.75003,-0.047,0.74963,-0.039,0.75002,-0.042
0.56588,-0.182,0.56705,-0.176,0.57033,-0.163,0.5723,-0.161,0.64988,-0.102,0.6498,-0.096,0.64957,-0.082
0.46599,-0.224,0.46706,-0.212,0.47037,-0.213,0.4722,-0.213,0.54983,-0.198,0.54955,-0.133,0.54967,-0.119
0.3658,-0.212,0.36705,-0.202,0.37009,-0.223,0.37235,-0.21,0.4499,-0.197,0.44998,-0.181,0.4497,-0.158
0.26579,-0.186,0.26705,-0.175,0.2701,-0.182,0.2723,-0.191,0.35016,-0.198,0.3499,-0.181,0.34973,-0.163
0.16594,-0.139,0.16699,-0.154,0.1701,-0.136,0.17242,-0.141,0.25012,-0.187,0.24997,-0.19,0.24976,-0.165
0.04993,-0.13,0.04909,-0.118,0.05016,-0.07,0.05017,-0.083,0.15054,-0.143,0.15016,-0.179,0.14996,-0.169
0.02002,-0.172,0.01922,-0.12,0.0201,-0.072,0.01999,-0.061,0.10029,-0.123,0.10019,-0.168,0.10039,-0.194
0.00593,0.444,0.0052,0.481,0.00591,0.521,0.00611,0.514,0.0655,-0.12,0.06521,-0.155,0.06536,-0.209
0.00034,0.776,0.00031,0.758,0.00042,0.727,0,0.728,0.0403,-0.119,0.03999,-0.166,0.04025,-0.272
0.00216,0.418,0.00108,0.339,0.00222,0.257,0.0021,0.227,0.0203,-0.095,0.01985,-0.14,0.01985,-0.27
0.00866,-0.222,0.00789,-0.378,0.00914,-0.49,0.00893,-0.484,0.00587,0.517,0.00567,0.46,0.00578,0.247
0.02037,-0.77,0.01906,-0.998,0.02036,-1.132,0.02012,-1.261,0.00057,0.709,0.00068,0.683,0.0005,0.633
0.03525,-0.679,0.03402,-0.843,0.03508,-0.886,0.0353,-1.082,0.00184,-0.308,0.0019,0.174,0.00193,0.173
0.06036,-0.451,0.05911,-0.527,0.06022,-0.579,0.06011,-0.583,0.00626,-0.311,0.00623,-0.265,0.0063,-0.362
0.09959,-0.374,0.09913,-0.448,0.10029,-0.494,0.10019,-0.495,0.01228,-0.781,0.01209,-0.757,0.01265,-0.826
0.15037,-0.342,0.14927,-0.401,0.15032,-0.435,0.15024,-0.442,0.02006,-1.254,0.01983,-1.279,0.02012,-1.247
0.20044,-0.347,0.19909,-0.405,0.20029,-0.416,0.20016,-0.413,0.02988,-1.159,0.02991,-1.162,0.02999,-1.124
0.25039,-0.342,0.2508,-0.389,0.25024,-0.396,0.25021,-0.387,0.04966,-0.656,0.04972,-0.678,0.04995,-0.566
0.3005,-0.344,0.29925,-0.38,0.30008,-0.391,0.30021,-0.369,0.07448,-0.536,0.07488,-0.537,0.07482,-0.406
0.3505,-0.346,0.34927,-0.362,0.35024,-0.38,0.35015,-0.357,0.09994,-0.483,0.09991,-0.445,0.0999,-0.362
0.40047,-0.357,0.39931,-0.366,0.40037,-0.362,0.39977,-0.327,0.13986,-0.439,0.13983,-0.377,0.13976,-0.304
0.4503,-0.346,0.44897,-0.339,0.4501,-0.347,0.45009,-0.31,0.17979,-0.392,0.17999,-0.331,0.17991,-0.279
0.50039,-0.323,0.49927,-0.319,0.50024,-0.323,0.5002,-0.277,0.22001,-0.36,0.2201,-0.303,0.2199,-0.255
0.55025,-0.289,0.54927,-0.276,0.55042,-0.269,0.55033,-0.24,0.25964,-0.335,0.25996,-0.284,0.25976,-0.246
0.60029,-0.259,0.59931,-0.238,0.60071,-0.224,0.60018,-0.194,0.29988,-0.318,0.29994,-0.272,0.29986,-0.231
0.65032,-0.219,0.64917,-0.199,0.65026,-0.18,0.65015,-0.151,0.33985,-0.301,0.34008,-0.257,0.33979,-0.221
0.71026,-0.174,0.70897,-0.163,0.71034,-0.137,0.70977,-0.109,0.37986,-0.289,0.37994,-0.247,0.37976,-0.211
0.78026,-0.118,0.77912,-0.085,0.78008,-0.07,0.78012,-0.047,0.41959,-0.274,0.41988,-0.235,0.41988,-0.218
0.85021,-0.039,0.84903,-0.005,0.85001,0.009,0.8501,0.019,0.45975,-0.264,0.45976,-0.221,0.4597,-0.187
0.92027,0.061,0.91929,0.086,0.92012,0.098,0.92005,0.107,0.4996,-0.229,0.49994,-0.191,0.49987,-0.169
0.98518,0.173,0.98387,0.193,0.98611,0.205,0.98498,0.203,0.53959,-0.2,0.53988,-0.175,0.53975,-0.143
,,,,,,,,0.57961,-0.162,0.57991,-0.133,0.57985,-0.114
,,,,,,,,0.61987,-0.136,0.6197,-0.108,0.61976,-0.094
,,,,,,,,0.65968,-0.105,0.65979,-0.088,0.65966,-0.077
,,,,,,,,0.6997,-0.084,0.69976,-0.058,0.69979,-0.063
,,,,,,,,0.7394,-0.058,0.7397,-0.042,0.7398,-0.049
,,,,,,,,0.7796,-0.022,0.77962,-0.015,0.77942,-0.034
,,,,,,,,0.81937,0.016,0.81965,0.02,0.81985,-0.019
,,,,,,,,0.85955,0.051,0.8598,0.05,0.85943,-0.008
,,,,,,,,0.8994,0.092,0.89977,0.084,0.89961,0.001
,,,,,,,,0.94227,0.149,0.94861,0.136,0.94959,-0.007
,,,,,,,,0.98506,0.205,0.98462,0.185,0.98455,0.009
