x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.9503,0.112,0.94937,0.131,0.94999,0.133,0.94987,0.133,0.94977,0.122,0.94953,0.101,0.94946,0.042
0.81597,-0.025,0.81705,-0.004,0.81986,-0.002,0.82223,-0.002,0.84954,0.024,0.84934,0.011,0.84958,-0.025
0.66593,-0.091,0.66698,-0.075,0.67008,-0.08,0.67216,-0.085,0.75003,-0.044,0.74963,-0.048,0.75002,-0.072
0.56588,-0.131,0.56705,-0.126,0.57033,-0.118,0.5723,-0.124,0.64988,-0.092,0.6498,-0.098,0.64957,-0.105
0.46599,-0.165,0.46706,-0.146,0.47037,-0.153,0.4722,-0.161,0.54983,-0.165,0.54955,-0.126,0.54967,-0.132
0.3658,-0.136,0.36705,-0.124,0.37009,-0.145,0.37235,-0.139,0.4499,-0.162,0.44998,-0.164,0.4497,-0.157
0.26579,-0.102,0.26705,-0.083,0.2701,-0.085,0.2723,-0.096,0.35016,-0.147,0.3499,-0.151,0.34973,-0.155
0.16594,-0.029,0.16699,-0.039,0.1701,-0.016,0.17242,-0.021,0.25012,-0.116,0.24997,-0.145,0.24976,-0.143
0.04993,0.049,0.04909,0.081,0.05016,0.136,0.05017,0.116,0.15054,-0.038,0.15016,-0.103,0.14996,-0.142
0.02002,0.116,0.01922,0.179,0.0201,0.235,0.01999,0.243,0.10029,0.018,0.10019,-0.056,0.10039,-0.136
0.00593,0.628,0.0052,0.661,0.00591,0.695,0.00611,0.689,0.0655,0.102,0.06521,-0.002,0.06536,-0.121
0.00034,0.675,0.00031,0.63,0.00042,0.572,0,0.587,0.0403,0.101,0.03999,0.036,0.04025,-0.107
0.00216,0.178,0.00108,0.053,0.00222,-0.057,0.0021,-0.077,0.0203,0.206,0.01985,0.151,0.01985,0.005
0.00866,-0.567,0.00789,-0.741,0.00914,-0.866,0.00893,-0.855,0.00587,0.672,0.00567,0.626,0.00578,0.463
0.02037,-1.177,0.01906,-1.44,0.02036,-1.574,0.02012,-1.654,0.00057,0.554,0.00068,0.528,0.0005,0.497
0.03525,-1.338,0.03402,-1.73,0.03508,-1.864,0.0353,-1.898,0.00184,-0.673,0.0019,-0.136,0.00193,-0.12
0.06036,-0.664,0.05911,-0.698,0.06022,-1.103,0.06011,-1.354,0.00626,-0.673,0.00623,-0.598,0.0063,-0.694
0.09959,-0.538,0.09913,-0.613,0.10029,-0.636,0.10019,-0.6,0.01228,-1.142,0.01209,-1.148,0.01265,-1.184
0.15037,-0.471,0.14927,-0.535,0.15032,-0.564,0.15024,-0.548,0.02006,-1.644,0.01983,-1.608,0.02012,-1.62
0.20044,-0.455,0.19909,-0.524,0.20029,-0.524,0.20016,-0.501,0.02988,-1.874,0.02991,-1.816,0.02999,-1.612
0.25039,-0.439,0.2508,-0.487,0.25024,-0.489,0.25021,-0.455,0.04966,-1.74,0.04972,-1.422,0.04995,-0.917
0.3005,-0.432,0.29925,-0.465,0.30008,-0.466,0.30021,-0.422,0.07448,-0.652,0.07488,-0.652,0.07482,-0.539
0.3505,-0.426,0.34927,-0.434,0.35024,-0.443,0.35015,-0.4,0.09994,-0.569,0.09991,-0.517,0.0999,-0.426
