"C_p_inc","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.178213343024,31.0000743866,12,0,0,0.00461853621528,-0.00461856462061,-0.0433367006481,1,-1.45515203476,0.00202648481354,146.415649414,14.0530080795,14.1063194275
0.169488459826,30.9005050659,12,-0.0106113161892,0.100133159601,0.00457481434569,-0.00457484135404,-0.0429136715829,1,-1.44538247585,0.00199615536258,147.244689941,13.2104473114,14.2888298035
0.15356913209,30.7202301025,12,-0.0298240482807,0.281429026889,0.00449315877631,-0.00449318578467,-0.0421261228621,1,-1.42768144608,0.00194145168643,148.754562378,11.6737232208,14.6214046478
0.141135632992,30.586763382,12,-0.0440709888935,0.415653990363,0.00456512952223,-0.00456515699625,-0.0427688211203,1,-1.41847705841,0.00187108060345,149.916976929,10.5127372742,14.8794145584
0.118537046015,30.3451118469,12,-0.0698663443327,0.658678402195,0.00468294369057,-0.00468297256157,-0.0438197441399,1,-1.40183711052,0.00174382107798,152.024963379,8.41076755524,15.3469266891
0.11194575578,30.1683349609,12,-0.0887772068381,0.836463913809,0.00487941876054,-0.00487944949418,-0.0456126369536,1,-1.39173257351,0.00165083841421,152.614379883,7.82361221313,15.4865293503
0.0999830886722,29.8482627869,12,-0.123017020524,1.15836228513,0.00520630227402,-0.00520633487031,-0.0485950782895,1,-1.37348544598,0.00148245680612,153.681793213,6.76294994354,15.7391138077
0.0945237874985,29.6177902222,12,-0.14774158597,1.39015725318,0.00539319682866,-0.00539323221892,-0.0502556599677,1,-1.362388134,0.00132578704506,154.158279419,6.28947114944,15.8647403717
0.0846199020743,29.2004985809,12,-0.192507609725,1.80984321998,0.00570339662954,-0.00570343388245,-0.053010661155,1,-1.34236252308,0.00104204192758,155.020889282,5.43483972549,16.0920009613
0.0795135200024,28.9061431885,12,-0.224260240793,2.10590626503,0.00580681301653,-0.0058068507351,-0.0538944229484,1,-1.33050704002,0.000897086516488,155.458679199,5.00105905533,16.2080745697
0.0702404305339,28.3731861115,12,-0.281751155853,2.64195519122,0.00597525667399,-0.00597529299557,-0.0553307570517,1,-1.30913126469,0.0006345831207,156.252105713,4.21753072739,16.4182014465
0.0649930536747,28.0069389343,12,-0.321344822645,3.01033631615,0.00589297385886,-0.00589300924912,-0.0545849464834,1,-1.29718184471,0.000666473119054,156.697463989,3.77773594856,16.5086421967
0.0554427430034,27.3438167572,12,-0.393032670021,3.6773222,0.00574654433876,-0.0057465787977,-0.0532559938729,1,-1.27566862106,0.000724270183127,157.506439209,2.98187994957,16.6726036072
0.0496127456427,26.9026451111,12,-0.440541952848,4.12104458313,0.00535656837747,-0.00535660004243,-0.0498237721622,1,-1.26482748985,0.0011909030145,158.000137329,2.49639177322,16.7032413483
0.0389697179198,26.1038665771,12,-0.526561737061,4.92444146485,0.00468833837658,-0.00468836678192,-0.0439313165843,1,-1.24537551403,0.0020357768517,158.899612427,1.61586606503,16.7592124939
0.0321685448289,25.5926628113,12,-0.580462694168,5.43847901544,0.0039066276513,-0.00390665093437,-0.0368659123778,1,-1.23747050762,0.00348617113195,159.480270386,1.04785323143,16.6442279816
0.019710695371,24.6670799255,12,-0.678055286407,6.36919271601,0.00257426360622,-0.00257427967153,-0.0247912947088,1,-1.22342824936,0.0061122616753,160.541473389,0.0157337579876,16.4365882874
0.012149464339,24.1005935669,12,-0.734369277954,6.93847125958,0.00155486736912,-0.00155487714801,-0.0145244123414,1,-1.22065794468,0.00953168887645,161.202514648,-0.625759541988,15.9996166229
-0.00175634236075,23.0749187469,12,-0.836330771446,7.96920157466,-0.000178963615326,0.000178965026862,0.00302530312911,1,-1.21606147289,0.0157228559256,162.414733887,-1.79298949242,15.2083005905
-0.00927881430835,22.4772529602,12,-0.887714624405,8.56907213819,-0.000977940275334,0.000977947609499,0.0140763213858,1,-1.21973967552,0.0218817442656,163.09274292,-2.451577425,14.2879304886
-0.0232457332313,21.3951244354,12,-0.980749666691,9.65519260262,-0.00233228458092,0.00233230204321,0.0330306887627,1,-1.22702598572,0.0330329835415,164.345870972,-3.65416264534,12.6199989319
-0.0337476991117,20.3112220764,12,-1.05065333843,10.741346757,-0.00243857083842,0.00243859412149,0.0469302088022,1,-1.24554359913,0.0504165589809,165.338790894,-4.53252077103,9.77239704132
-0.0393630862236,19.7125759125,12,-1.08926153183,11.3412365988,-0.00251139258035,0.00251141912304,0.0549501813948,1,-1.25528478622,0.0600176155567,165.873352051,-5.01302719116,8.20293903351
-0.0396104902029,18.6821899414,12,-1.12200260162,12.3721426212,-0.00127639656421,0.00127642031293,0.0532493814826,1,-1.28147256374,0.0870554447174,165.999252319,-5.02240991592,3.58735013008
-0.0395121499896,18.1131019592,12,-1.14008569717,12.9415178312,-0.000583416083828,0.000583437271416,0.0519835017622,1,-1.29530310631,0.101988621056,166.049880981,-5.01890087128,1.04520487785
-0.0201490707695,17.1826400757,12,-1.12165212631,13.8721622925,-0.000240617999225,0.00024062875309,0.0275458879769,1,-1.31824529171,0.134548351169,164.415908813,-3.24899029732,-4.40237760544
-0.00921868067235,16.6687412262,12,-1.11147117615,14.3861619804,-0.000109170876385,0.000109175794933,0.0128258755431,1,-1.33016121387,0.152531281114,163.491531372,-2.25965213776,-7.39958095551
0.0271777566522,15.8672990799,12,-1.05479538441,15.1896056059,-0.00292883440852,0.00292883068323,-0.0222206991166,1,-1.33757388592,0.183025494218,160.162490845,1.21971225739,-11.9849157333
0.0475237071514,15.4246578217,12,-1.02349305153,15.6333522898,-0.00468490319327,0.0046848943457,-0.0431510210037,1,-1.34082734585,0.199867621064,158.296966553,3.1582672596,-14.5019865036
0.0939923971891,14.7622289658,12,-0.945268511772,16.3003838241,-0.0103500755504,0.0103500634432,-0.0734851583838,1,-1.33034110069,0.230215534568,153.664413452,7.95280838013,-18.184720993
0.119931459427,14.396364212,12,-0.902064561844,16.6687906635,-0.013797913678,0.0137978987768,-0.0915272086859,1,-1.32364594936,0.246976852417,151.070343018,10.62586689,-20.1956710815
0.177206292748,13.8681573868,12,-0.81088334322,17.2048097536,-0.021981343627,0.0219813231379,-0.113400124013,1,-1.2978656292,0.282892405987,144.634963989,17.2345561981,-23.1711387634
0.209113374352,13.5764255524,12,-0.760523319244,17.5008563634,-0.0269283149391,0.0269282963127,-0.126319035888,1,-1.28266870975,0.302728801966,141.033096313,20.9203300476,-24.7746105194
0.280607014894,13.1690587997,12,-0.65988111496,17.9204710968,-0.0380451083183,0.0380450934172,-0.139645546675,1,-1.24328017235,0.348335027695,131.495269775,30.6446590424,-25.7728157043
0.32021933794,12.944067955,12,-0.604295790195,18.1522265898,-0.0447206497192,0.0447206385434,-0.14735032618,1,-1.22051048279,0.373523622751,126.163352966,36.0655937195,-26.2490348816
0.397907823324,12.6409063339,12,-0.496069610119,18.4741270007,-0.060823019594,0.0608230158687,-0.147410899401,1,-1.16648721695,0.441208451986,110.772712708,51.6635856628,-20.1146411896
0.440117925406,12.4734678268,12,-0.436295568943,18.6519150477,-0.0703522711992,0.0703522637486,-0.146941661835,1,-1.13554692268,0.478591144085,102.20211792,60.331401825,-16.5622596741
