CD,,upper_unc,,lower_unc,
X,Y,X,Y,X,Y
1.00021990104453,0.019966832504145944,1.00021990104453,0.020563847429519083,1.00021990104453,0.01927031509121061
1.0202308960967565,0.022222222222222216,1.0202308960967568,0.023150912106135988,1.0202308960967565,0.02122719734660033
1.040241891148983,0.025140961857379775,1.040241891148983,0.02719734660033168,1.040241891148983,0.02308457711442786
1.0602528862012097,0.02766169154228856,1.0602528862012097,0.031077943615257054,1.0602528862012097,0.02417910447761194
1.0802638812534362,0.028789386401326705,1.0802638812534362,0.03227197346600332,1.0802638812534362,0.02527363184079602
1.1002748763056627,0.029684908789386406,1.10065970313359,0.03310116086235489,1.10065970313359,0.026202321724709793
1.1202858713578892,0.02985074626865672,1.1202858713578894,0.032902155887230514,1.1202858713578892,0.026832504145936992
1.1402968664101159,0.03008291873963516,1.1402968664101156,0.03276948590381427,1.1402968664101156,0.02733001658374793
1.160307861462342,0.0300497512437811,1.1603078614623423,0.032636815920398014,1.1606926882902697,0.027429519071310117
1.1799340296866414,0.029917081260364846,1.1803188565145688,0.0324709784411277,1.1803188565145688,0.02739635157545606
1.1999450247388679,0.029883913764510783,1.2003298515667953,0.032437810945273635,1.2003298515667953,0.027330016583747924
