"C_p_KT","C_p_L","C_p_PG","C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.372297883034,0.342812389135,0.393048971891,0.281576365232,1.14043617249,1.12930107117,1.13600003719,0,0,1.89668196526e-06,-5.32128012765e-07,-1.42441485877e-05,1,0.0111357998103,-0.130862385035,199.45173645,2.85343718529,26.4514312744
0.320819348097,0.297936230898,0.336757659912,0.241249829531,1.13637816906,1.12455284595,1.13600003719,-0.000632239447441,0.00479013250168,1.69818520135e-06,-4.76351345924e-07,-1.29357013066e-05,1,0.0118265356869,-0.128496557474,204.928436279,1.33631980419,26.718963623
0.310420930386,0.288884371519,0.325375944376,0.233096078038,1.13555347919,1.12358653545,1.13600003719,-0.000760909053497,0.00576497189977,1.65237429428e-06,-4.6347844318e-07,-1.26342865769e-05,1,0.0119683258235,-0.128019124269,206.039138794,1.03203344345,26.7739181519
0.238923817873,0.225988268852,0.247663497925,0.177423670888,1.13076794147,1.11833226681,1.13600003719,-0.00142985081766,0.0110616521894,1.33911646572e-06,-3.75486877147e-07,-1.04766668301e-05,1,0.0124377217144,-0.125328198075,213.510253906,-1.23855161667,27.2510223389
0.224502593279,0.213315427303,0.231977298856,0.166186228395,1.12979531288,1.11726295948,1.13600003719,-0.0015659899218,0.0121395909705,1.26704367176e-06,-3.55241894567e-07,-9.98093128146e-06,1,0.0125345690176,-0.124785155058,215.022323608,-1.6883341074,27.3478622437
0.18931786716,0.181239724159,0.194651067257,0.139446079731,1.12440550327,1.11146891117,1.13600003719,-0.00229898933321,0.0179798207561,1.15058151096e-06,-3.2258998317e-07,-9.07195408217e-06,1,0.0129394605756,-0.124715469778,218.426071167,-2.80839180946,27.805398941
0.182159230113,0.174720883369,0.187051132321,0.13400156796,1.12330985069,1.11028981209,1.13600003719,-0.00244816509075,0.0191683189908,1.12356167392e-06,-3.15014631269e-07,-8.86106317921e-06,1,0.0130231045187,-0.124701410532,219.121078491,-3.02753162384,27.8985233307
0.151803031564,0.146544724703,0.155226618052,0.111202806234,1.11728692055,1.10392212868,1.13600003719,-0.0032577465754,0.0255872608194,1.00835109151e-06,-2.82722737666e-07,-7.94302832219e-06,1,0.0133686410263,-0.124818406999,221.961685181,-3.97947072983,28.3186759949
0.145596474409,0.140789344907,0.14871583879,0.106538549066,1.11606216431,1.1026263237,1.13600003719,-0.0034225077834,0.0268934984682,9.81399239208e-07,-2.75168531516e-07,-7.7282793427e-06,1,0.0134400399402,-0.124842017889,222.544448853,-4.1662311554,28.4044704437
0.117513671517,0.114307627082,0.119575403631,0.08566262573,1.10936927795,1.09565186501,1.13600003719,-0.00430686585605,0.0339238016822,8.4630528363e-07,-2.37210912246e-07,-6.6945249273e-06,1,0.0137226041406,-0.124196335673,225.125137329,-5.02706050873,28.6115875244
0.11174993217,0.108876414597,0.11359179765,0.0813760384917,1.10800802708,1.09423243999,1.13600003719,-0.00448684534058,0.0353545916654,8.14529016679e-07,-2.28282800663e-07,-6.45132240606e-06,1,0.0137809310108,-0.124066032469,225.656295776,-5.19729137421,28.6546363831
0.0852893218398,0.0835525915027,0.0863935723901,0.0618914924562,1.10060966015,1.08662164211,1.13600003719,-0.00544237578288,0.0430251381145,6.58251508412e-07,-1.84292190397e-07,-5.27240399606e-06,1,0.0139942755923,-0.122442275286,228.06098938,-5.9822678566,28.6011123657
0.0798415243626,0.0783412232995,0.0807922706008,0.0578787773848,1.09910440445,1.0850726366,1.13600003719,-0.00563683966175,0.0445863025086,6.21367803433e-07,-1.73910450485e-07,-4.99396446685e-06,1,0.0140381706879,-0.1221145913,228.557067871,-6.13923788071,28.591753006
0.0552961826324,0.054524473846,0.0557818450034,0.0399615578353,1.0909692049,1.07680058479,1.13600003719,-0.00665264576674,0.0529204913239,4.51415871794e-07,-1.26075946127e-07,-3.69666349798e-06,1,0.0141762383282,-0.119362562895,230.777801514,-6.83696079254,28.233089447
0.0502272732556,0.0496068224311,0.0506163574755,0.0362610556185,1.08931362629,1.075116992,1.13600003719,-0.00685937702656,0.0546167290778,4.11196680261e-07,-1.1475763273e-07,-3.38921859111e-06,1,0.0142043838277,-0.118807189167,231.236816406,-6.97842264175,28.1622714996
0.0282297171652,0.0279891267419,0.0283798407763,0.0203310362995,1.08042168617,1.06616544724,1.13600003719,-0.00792258791625,0.0636311936218,2.41635575549e-07,-6.72395117363e-08,-2.03475337912e-06,1,0.0142650604248,-0.115224406123,233.222396851,-7.56507539749,27.5565414429
0.0236706007272,0.0235080551356,0.0237716306001,0.0170297604054,1.07861149311,1.06434369087,1.13600003719,-0.00813896581531,0.065465755052,2.01383784315e-07,-5.59625483731e-08,-1.71252611381e-06,1,0.0142769515514,-0.114501386881,233.633789062,-7.68615818024,27.4358825684
0.0043826312758,0.00433561718091,0.00441170204431,0.00316049950197,1.06895422935,1.05470359325,1.13600003719,-0.00923783890903,0.075168280711,4.20266594858e-08,-1.17546701262e-08,-3.4476579458e-07,1,0.0142608238384,-0.110476016998,235.371444702,-8.15057754517,26.6732940674
0.000368718669051,0.000343831226928,0.000384000566555,0.000275094178505,1.06698775291,1.05274176598,1.13600003719,-0.0094614746049,0.0771428133629,4.06294464739e-09,-1.22796961488e-09,-1.80261512384e-08,1,0.0142565164715,-0.109663680196,235.732437134,-8.24888324738,26.5209217072
-0.0164885893464,-0.0165826529264,-0.0164313893765,-0.0117712840438,1.05656838417,1.04241466522,1.13600003719,-0.0105860261247,0.0875309617109,-1.41317457292e-07,3.84129776876e-08,1.34532626817e-06,1,0.0141653688625,-0.105544507504,237.246353149,-8.59274959564,25.6909389496
-0.0200118962675,-0.0201232992113,-0.0199441928416,-0.0142878210172,1.05444633961,1.04031300545,1.13600003719,-0.0108148884028,0.089645045851,-1.76081812242e-07,4.78858197539e-08,1.67234270521e-06,1,0.0141451722011,-0.104713238776,237.561767578,-8.66844844818,25.5248641968
-0.0350885950029,-0.0353990495205,-0.0349008589983,-0.0250026285648,1.04328012466,1.02931284904,1.13600003719,-0.0119577823207,0.100704415064,-3.09281489308e-07,8.33165358927e-08,3.04511172544e-06,1,0.013980306685,-0.100767493248,238.906494141,-8.90478801727,24.7024784088
-0.0382520630956,-0.0386079736054,-0.0380369536579,-0.0272492952645,1.04100525379,1.0270742178,1.13600003719,-0.012190378271,0.102955097348,-3.4123999626e-07,9.18102287528e-08,3.3754740798e-06,1,0.0139444433153,-0.0999712273479,239.187362671,-8.9603805542,24.5378246307
-0.0525399632752,-0.0532062649727,-0.05213939026,-0.0373521409929,1.02911841869,1.01542794704,1.13600003719,-0.0133461933583,0.114658581057,-4.687347257e-07,1.24705664462e-07,4.80942981085e-06,1,0.0137049602345,-0.0963510498405,240.445236206,-9.11326503754,23.7728614807
-0.0555443949997,-0.0562805496156,-0.0551021583378,-0.0394746400416,1.02669620514,1.01305782795,1.13600003719,-0.013581417501,0.117040344043,-4.99375630625e-07,1.32603886982e-07,5.15499186804e-06,1,0.013653209433,-0.09562048316,240.708267212,-9.15356349945,23.6196918488
-0.0701860263944,-0.0713645517826,-0.0694820210338,-0.0497762262821,1.01412451267,1.00080645084,1.13600003719,-0.0147459907457,0.129346946817,-6.28935310942e-07,1.64882109743e-07,6.72842952554e-06,1,0.013333925046,-0.0922759920359,241.974884033,-9.25356388092,22.9120578766
-0.0732632055879,-0.0745405480266,-0.0725008547306,-0.0519388914108,1.01156210899,0.998313188553,1.13600003719,-0.0149829974398,0.131851448569,-6.600399729e-07,1.72622662831e-07,7.10716130925e-06,1,0.013265199028,-0.0916010588408,242.239456177,-9.28479671478,22.7703762054
-0.0893077477813,-0.09121568501,-0.0881761312485,-0.0631685033441,0.998350977898,0.98551183939,1.13600003719,-0.016149032861,0.144705793321,-7.96891640675e-07,2.05248085194e-07,8.90098635864e-06,1,0.0128566445783,-0.0883237048984,243.602325439,-9.36201190948,22.077539444
-0.0926705300808,-0.0947183221579,-0.0914572328329,-0.0655190572143,0.995657801628,0.982906579971,1.13600003719,-0.0163863375783,0.147321838077,-8.29631858323e-07,2.13040948438e-07,9.33139472181e-06,1,0.0127689940855,-0.0876623243093,243.886169434,-9.39039421082,21.9387722015
-0.110888980329,-0.113839134574,-0.109153434634,-0.0781964361668,0.981862604618,0.969623625278,1.13600003719,-0.0175429303199,0.160655051948,-9.72285306489e-07,2.446238625e-07,1.14039548862e-05,1,0.012257900089,-0.0840936675668,245.409484863,-9.4690284729,21.1754226685
-0.114693343639,-0.117842189968,-0.112843163311,-0.0808397233486,0.979049801826,0.966920316219,1.13600003719,-0.0177783127874,0.163368589266,-1.00623731214e-06,2.52119406241e-07,1.18992084026e-05,1,0.0121486121789,-0.0833735018969,245.725524902,-9.49962234497,21.0223331451
-0.135304525495,-0.139714926481,-0.132733806968,-0.0950891822577,0.96473711729,0.953236818314,1.13600003719,-0.0189058966935,0.177098467649,-1.142313522e-06,2.77576958752e-07,1.4249168089e-05,1,0.01152063068,-0.0790600404143,247.428146362,-9.58951282501,20.0714302063
-0.139593705535,-0.144280061126,-0.136865913868,-0.0980493873358,0.961818218231,0.950452029705,1.13600003719,-0.0191353764385,0.179892695368,-1.17448848869e-06,2.83553703184e-07,1.48084773173e-05,1,0.0113867949694,-0.0781895667315,247.780075073,-9.62444877625,19.8803462982
-0.16216082871,-0.168524965644,-0.158488720655,-0.113539740443,0.94706851244,0.936459541321,1.13600003719,-0.0202071070671,0.193926167416,-1.280552965e-06,2.94056150096e-07,1.73551252374e-05,1,0.0106306327507,-0.0727314725518,249.626327515,-9.71687984467,18.6297969818
-0.166844069958,-0.173573181033,-0.162967354059,-0.116748191416,0.944060027599,0.933611869812,1.13600003719,-0.0204252209514,0.196782179792,-1.30537807763e-06,2.96414555123e-07,1.79591825145e-05,1,0.0104699926451,-0.0716300085187,250.006713867,-9.75444698334,18.3780040741
-0.190327703953,-0.199136465788,-0.185298472643,-0.132745981216,0.928969562054,0.919411182404,1.13600003719,-0.0214073974639,0.211016792311,-1.35156608394e-06,2.81044634676e-07,2.05456781259e-05,1,0.00958131439984,-0.0647487714887,251.91229248,-9.82331466675,16.7407474518
-0.195190906525,-0.204450041056,-0.189913198352,-0.136051923037,0.925891041756,0.916521131992,1.13600003719,-0.0216072835028,0.213913746886,-1.36198843848e-06,2.77203980659e-07,2.11574260902e-05,1,0.00939306151122,-0.0633601099253,252.303878784,-9.85813236237,16.4105625153
