"C_p_KT","C_p_L","C_p_PG","C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.415669322014,0.342573434114,0.459368884563,0.249318391085,1.15190136433,1.14276790619,1.18400001526,0,0,1.10837390821e-06,-3.10962462891e-07,-8.32392925076e-06,1,0.00913382135332,-0.131208196282,245.261779785,-7.93282318115,32.9542198181
0.353984683752,0.297389954329,0.38720703125,0.210153192282,1.14764428139,1.13788199425,1.18400001526,-0.000650570436846,0.00492903412381,9.78443608801e-07,-2.74459210914e-07,-7.45366560295e-06,1,0.0097629064694,-0.128700584173,251.417709351,-10.2491769791,33.1776733398
0.34540271759,0.291219204664,0.377060383558,0.20464618504,1.14707589149,1.13722538948,1.18400001526,-0.000738012429792,0.00559143575573,9.57460656537e-07,-2.68563979944e-07,-7.31350701244e-06,1,0.00985133647919,-0.128365069628,252.296127319,-10.5373764038,33.2149810791
0.256072700024,0.225310072303,0.272857636213,0.148091077805,1.14207136631,1.13181865215,1.18400001526,-0.00142634939402,0.0110418133854,7.40220116313e-07,-2.07552830034e-07,-5.79917013965e-06,1,0.0102539844811,-0.125512883067,261.126037598,-14.3331031799,33.744808197
0.243894457817,0.216426163912,0.258560836315,0.140331611037,1.14140224457,1.13109195232,1.18400001526,-0.00151886756066,0.0117743789133,7.06200637524e-07,-1.97998261342e-07,-5.5626487665e-06,1,0.0103115839884,-0.125131264329,262.352600098,-14.7951145172,33.8207550049
0.20439517498,0.184631645679,0.214674472809,0.116512678564,1.13578808308,1.12513005733,1.18400001526,-0.00227311928757,0.0177837954847,6.37390883185e-07,-1.78705974463e-07,-5.02599914398e-06,1,0.0106599666178,-0.125057414174,265.853607178,-16.7357902527,34.3154029846
0.198740720749,0.180130526423,0.208354979753,0.113082833588,1.13503623009,1.12432873249,1.18400001526,-0.00237449700944,0.0185915076541,6.25870768545e-07,-1.7547607456e-07,-4.93611332786e-06,1,0.0107094552368,-0.125047534704,266.365844727,-16.9752368927,34.3864440918
0.165446251631,0.15222671628,0.172129869461,0.0934219658375,1.1287856102,1.11777639389,1.18400001526,-0.00320755131543,0.0251965905914,5.61671072319e-07,-1.5748246085e-07,-4.42404962087e-06,1,0.0110117010772,-0.125171527267,269.207946777,-18.4210414886,34.8323173523
0.160663619637,0.148254022002,0.166902422905,0.0905848219991,1.12794733047,1.11689567566,1.18400001526,-0.00331952073611,0.0260843978643,5.50861386728e-07,-1.54452720835e-07,-4.33786999565e-06,1,0.0110541954637,-0.125188112259,269.623413086,-18.6101055145,34.8962516785
0.129814878106,0.121476568282,0.133925497532,0.072686880827,1.12102401257,1.10971915722,1.18400001526,-0.00422951951623,0.0333183811863,4.75865050475e-07,-1.33376843792e-07,-3.76550974579e-06,1,0.0113082006574,-0.124503746629,272.218505859,-19.7180099487,35.06873703
0.125405922532,0.117675200105,0.129196494818,0.0701202526689,1.12009465694,1.10875451565,1.18400001526,-0.00435183057562,0.0342907460128,4.63391018002e-07,-1.29871565946e-07,-3.67021652892e-06,1,0.0113434744999,-0.124412178993,272.593505859,-19.8726444244,35.0957107544
0.0959741771221,0.0912650898099,0.0982417538762,0.0533198453486,1.11246275902,1.10092294216,1.18400001526,-0.00533506600186,0.0421837996155,3.7548809928e-07,-1.05116448879e-07,-3.01054410556e-06,1,0.0115437908098,-0.122691109776,275.056030273,-20.7075595856,34.937335968
0.0917966589332,0.0875343307853,0.0938378199935,0.050929646939,1.11143743992,1.09987032413,1.18400001526,-0.0054672206752,0.0432446811207,3.61049075082e-07,-1.01050623869e-07,-2.90204252451e-06,1,0.0115711633116,-0.122460827231,275.407196045,-20.833234787,34.9196853638
0.0641112551093,0.06189699471,0.0651545897126,0.0353620797396,1.10306537151,1.09135830402,1.18400001526,-0.00651247892529,0.051820638862,2.64175554321e-07,-7.3763231967e-08,-2.16797661778e-06,1,0.0117119010538,-0.119543872774,277.728424072,-21.4216251373,34.3764877319
0.0602066367865,0.0582922436297,0.0611033402383,0.0331633016467,1.10193991661,1.09021425247,1.18400001526,-0.00665297033265,0.0529732844227,2.48415261694e-07,-6.93244572858e-08,-2.04840216611e-06,1,0.0117306355387,-0.11915358156,278.055511475,-21.5194072723,34.3069763184
0.0351502671838,0.0343917459249,0.03550106287,0.0192678906024,1.0928068161,1.08100306988,1.18400001526,-0.00774700799957,0.0622492104252,1.51097935941e-07,-4.20183745575e-08,-1.27813825657e-06,1,0.011809386313,-0.115356072783,280.164642334,-21.8700370789,33.4565391541
0.0316337309778,0.0310427043587,0.031905259937,0.017316300422,1.09157860279,1.07976508141,1.18400001526,-0.00789405591786,0.0634959014643,1.35368736665e-07,-3.76055950824e-08,-1.15350451324e-06,1,0.0118192294613,-0.114847965539,280.45892334,-21.9389476776,33.3454818726
0.00952427834272,0.00937578640878,0.00959189608693,0.00520591717213,1.08167493343,1.069845438,1.18400001526,-0.00902478862554,0.0734797825574,4.36498872602e-08,-1.21143415299e-08,-3.74796911728e-07,1,0.0118359467015,-0.110581345856,282.327850342,-22.0728130341,32.3046684265
0.00643364945427,0.00634799478576,0.00647228304297,0.00351277459413,1.0803425312,1.06851220131,1.18400001526,-0.00917676836252,0.0748216536106,2.88981070184e-08,-8.01512989312e-09,-2.494205944e-07,1,0.0118369692937,-0.11001046747,282.586578369,-22.1138801575,32.1676902771
-0.0129413744435,-0.0131040289998,-0.012870028615,-0.00698509486392,1.06967103481,1.05788576603,1.18400001526,-0.0103339245543,0.085510906962,-5.47199014989e-08,1.48453596083e-08,5.25256211859e-07,1,0.0117927026004,-0.105644419789,284.228759766,-22.0605564117,31.0504512787
-0.0156422629952,-0.0158176496625,-0.0155654894188,-0.00844803266227,1.06823503971,1.05645751953,1.18400001526,-0.0104894563556,0.0869475969774,-6.81234908484e-08,1.85088957494e-08,6.49575099487e-07,1,0.011785116978,-0.105060234666,284.454681396,-22.0764713287,30.90284729
-0.0329659692943,-0.033592928201,-0.0326944440603,-0.017744621262,1.05681073666,1.04513847828,1.18400001526,-0.011665487662,0.0983275681769,-1.44485838405e-07,3.88916454597e-08,1.42677708936e-06,1,0.0116806160659,-0.100878000259,285.919677734,-21.8698139191,29.8033599854
-0.0353775136173,-0.0360714308918,-0.035077162087,-0.0190378203988,1.05527317524,1.04361701012,1.18400001526,-0.0118235563859,0.0998572253578,-1.56703535481e-07,4.21516830329e-08,1.5512846403e-06,1,0.0116645768285,-0.100318409503,286.120422363,-21.8643741608,29.6578159332
-0.0517822988331,-0.0532496981323,-0.0511547401547,-0.0277637839317,1.04312264919,1.03163313866,1.18400001526,-0.0130128823221,0.111899968872,-2.29546230912e-07,6.10231865039e-08,2.36099890571e-06,1,0.0114987809211,-0.0964812412858,287.491912842,-21.5406513214,28.6373214722
-0.0540672764182,-0.0556484274566,-0.0533917248249,-0.028977887705,1.04148721695,1.03002238274,1.18400001526,-0.0131727373227,0.11351863754,-2.41202030793e-07,6.40415933617e-08,2.4907246825e-06,1,0.0114741688594,-0.0959678292274,287.6796875,-21.5185050964,28.5021381378
-0.0709295645356,-0.0736671239138,-0.0697750225663,-0.0378697738051,1.02864789963,1.01741600037,1.18400001526,-0.0143710756674,0.126181847688,-3.15287252306e-07,8.25856218967e-08,3.38076984008e-06,1,0.0112422481179,-0.0924228727818,289.061553955,-21.1093616486,27.5580120087
-0.0732825472951,-0.0761900246143,-0.0720578804612,-0.0391087755561,1.02691960335,1.01572155952,1.18400001526,-0.0145321423188,0.127883926485,-3.27156982394e-07,8.55554134205e-08,3.5235143514e-06,1,0.0112084047869,-0.0919485539198,289.251037598,-21.0751686096,27.4329471588
-0.0919137895107,-0.0965374037623,-0.0899945348501,-0.0488437376916,1.01343941689,1.00254893303,1.18400001526,-0.0157319847494,0.141111084556,-4.05935537628e-07,1.0444718157e-07,4.54483779322e-06,1,0.0109016634524,-0.0884747430682,290.742279053,-20.6017913818,26.5089511871
-0.0945193469524,-0.0993955135345,-0.0924983546138,-0.0502026677132,1.01162445545,1.00077843666,1.18400001526,-0.0158932544291,0.14288891056,-4.18577258188e-07,1.07477617917e-07,4.70885152026e-06,1,0.010857379064,-0.0880099460483,290.947296143,-20.5592422485,26.3865737915
-0.115953505039,-0.123390048742,-0.112923249602,-0.061288099736,0.997561752796,0.987110435963,1.18400001526,-0.0170833803713,0.156608627862,-5.01765953231e-07,1.26070858641e-07,5.90112585996e-06,1,0.0104634901509,-0.0842273756862,292.625518799,-20.0292339325,25.3731212616
-0.118955105543,-0.126769080758,-0.115776963532,-0.0628369301558,0.995668113232,0.985273361206,1.18400001526,-0.0172433424741,0.158452653766,-5.15124838785e-07,1.29055422349e-07,6.09270455243e-06,1,0.0104070445523,-0.0837212651968,292.856628418,-19.9805297852,25.238822937
-0.14355802536,-0.155108183622,-0.138951227069,-0.0754145532846,0.981092333794,0.971193015575,1.18400001526,-0.0184036213905,0.172580724415,-5.95949359194e-07,1.44513791156e-07,7.45947681935e-06,1,0.00991232413799,-0.0791492387652,294.749237061,-19.3837203979,23.9875507355
