Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
EllipsoidGeom,12.524796,6.262398,4.160872,2.130097
BORGeom,257.336073,251.144599,125.156274,125.060678
EllipsoidGeom,11.982522,5.992720,3.809053,1.950463
Totals,281.843392,263.399717,133.126198,129.141237

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
EllipsoidGeom_S_Surf0,12.524796,6.262398
BORGeom_S_Surf0,257.336073,251.144599
EllipsoidGeom_S_Surf0,11.982522,5.992720
