"C_p_2nd","C_p_ise","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.403320550919,0.397272378206,1.12903952599,1.11274826527,1.07700002193,0,0,-3.08074004352e-06,8.64324078975e-07,2.31364647334e-05,1,0.0162919890136,-0.130862399936,184.775085449,8.13157367706,27.6822986603
0.388225734234,0.38258844614,1.12803173065,1.11147928238,1.07700002193,-0.000168968108483,0.00128018271737,-3.00367514683e-06,8.42668896439e-07,2.26292595471e-05,1,0.0165533162653,-0.130247890949,186.760528564,7.58355379105,27.7009563446
0.333375871181,0.329253911972,1.12433707714,1.10682237148,1.07700002193,-0.000789052748587,0.00597819549481,-2.68526946456e-06,7.53196275127e-07,2.05347478186e-05,1,0.0175161845982,-0.128019124269,193.986602783,5.59720468521,27.7711086273
0.312716066837,0.309092730284,1.12311303616,1.10541808605,1.07700002193,-0.000967829662841,0.00739381506113,-2.56498242379e-06,7.19407864835e-07,1.97076806217e-05,1,0.0176965240389,-0.127320170403,196.679580688,4.81208753586,27.8256835938
0.237708717585,0.235916554928,1.11862492561,1.10026478767,1.07700002193,-0.00162391108461,0.012588709382,-2.06944059755e-06,5.8021021232e-07,1.63019249158e-05,1,0.018362345174,-0.124785155058,206.470474243,1.98332548141,28.025346756
0.227859482169,0.226192072034,1.11723327637,1.09871637821,1.07700002193,-0.00181980757043,0.0141494615388,-2.02483420253e-06,5.67704262266e-07,1.59537794389e-05,1,0.018519371748,-0.124767057598,207.705307007,1.61004650593,28.1157894135
0.191886395216,0.190680369735,1.11212956905,1.09303379059,1.07700002193,-0.00253871525638,0.0198773433777,-1.83943893717e-06,5.15726526373e-07,1.45066869663e-05,1,0.0190990176052,-0.124701403081,212.221832275,0.270583927631,28.445810318
0.183539018035,0.182409837842,1.11056339741,1.09133207798,1.07700002193,-0.0027550784871,0.0215927555291,-1.79553694579e-06,5.03421404119e-07,1.41567934406e-05,1,0.0192348789424,-0.124731794,213.251846313,-0.0442441888154,28.5314979553
0.152954593301,0.152109757066,1.10481834412,1.08508682251,1.07700002193,-0.00354909594171,0.0278882840698,-1.61196305726e-06,4.51968162452e-07,1.26939257825e-05,1,0.0197358150035,-0.124842017889,217.031036377,-1.17570149899,28.8447341919
0.145335286856,0.144545957446,1.10306739807,1.08322286606,1.07700002193,-0.00378544372506,0.0297671651005,-1.56045757649e-06,4.37495117467e-07,1.23003555927e-05,1,0.0198490992188,-0.12467430532,217.965530396,-1.46150648594,28.8765563965
0.117348738015,0.116764210165,1.09664285183,1.07638251781,1.07700002193,-0.0046527995728,0.0366622844078,-1.34442586841e-06,3.76792343104e-07,1.06487041194e-05,1,0.0202657263726,-0.124066032469,221.402145386,-2.49256539345,28.995054245
0.110259644687,0.109717480838,1.09469687939,1.07434844971,1.07700002193,-0.00490816868842,0.0387123201274,-1.28483225126e-06,3.60012677447e-07,1.02005369627e-05,1,0.0203540511429,-0.123644270003,222.270126343,-2.75590515137,28.9602565765
0.0841633379459,0.0837767422199,1.0875544548,1.06688404083,1.07700002193,-0.00584532925859,0.046235329484,-1.03441095689e-06,2.89510495577e-07,8.31469333207e-06,1,0.0206771809608,-0.1221145913,225.46824646,-3.71105217934,28.8376846313
0.0776617303491,0.0773080438375,1.08540439606,1.06467318535,1.07700002193,-0.00611680699512,0.0484627904001,-9.69581719801e-07,2.71254009476e-07,7.82223651186e-06,1,0.0207381471992,-0.121399767697,226.266311646,-3.94876146317,28.7251605988
0.0536712892354,0.0534378178418,1.07751059532,1.05656003952,1.07700002193,-0.00711308419704,0.0566368777188,-6.96703864378e-07,1.94429176759e-07,5.74441310164e-06,1,0.0209585353732,-0.118807189167,229.212478638,-4.81699752808,28.3211250305
0.0478988140821,0.0476903170347,1.07515060902,1.0541677475,1.07700002193,-0.00739723118022,0.0590459855682,-6.31961199815e-07,1.76270006591e-07,5.23050903212e-06,1,0.0209911782295,-0.117876581848,229.923461914,-5.02162218094,28.1469974518
0.0265347864479,0.0264171268791,1.06648361683,1.04538822174,1.07700002193,-0.00844000186771,0.0678872209582,-3.58798757816e-07,9.96878668502e-08,3.05482399199e-06,1,0.021104844287,-0.114501386881,232.55456543,-5.77619886398,27.5197353363
0.0215058010072,0.0214068368077,1.06391131878,1.04281187057,1.07700002193,-0.00873367860913,0.0704802561214,-2.97798521842e-07,8.27439734508e-08,2.53514053838e-06,1,0.0211091823876,-0.113455817103,233.175765991,-5.94471645355,27.307882309
0.002826430602,0.00279532466084,1.05446207523,1.0333571434,1.07700002193,-0.00981142558157,0.0799962113782,-3.96518835544e-08,1.10911511086e-08,3.26494614455e-07,1,0.0211157780141,-0.109663680196,235.481414795,-6.5748052597,26.5438156128
-0.00155374151655,-0.00157073163427,1.0516782999,1.03059720993,1.07700002193,-0.0101119661704,0.0827724601808,1.62342921328e-08,-4.17487466819e-09,-1.93281763927e-07,1,0.0210922602564,-0.10859374702,236.023117065,-6.70848178864,26.3173179626
-0.0178870987147,-0.0178527794778,1.04144954681,1.02046883106,1.07700002193,-0.0112148979679,0.092960714057,2.5353014621e-07,-6.89280881261e-08,-2.41085490416e-06,1,0.0209930632263,-0.104713238776,238.040130615,-7.21877479553,25.5000171661
-0.0217992812395,-0.0217538140714,1.03845834732,1.01752901077,1.07700002193,-0.0115203401074,0.0959163592041,3.0500387993e-07,-8.26535000442e-08,-2.936698138e-06,1,0.0209419764578,-0.10368835181,238.522918701,-7.32265949249,25.2777900696
