"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.171716332436,51.4511833191,51.0001983643,32,0,0,-0.00516100646928,0.00516103953123,0.0484266355634,1,51.4511833191,0,146.778701782,16.4217357635,13.892616272
0.14375372231,51.2005958557,50.7247505188,32,-0.0293554309756,0.277007683821,-0.00494612101465,0.00494615407661,0.0463757663965,1,51.2005958557,0,149.453216553,13.7589426041,14.4733552933
0.143307998776,51.1965904236,50.7203521729,32,-0.0298242419958,0.281430944026,-0.00494231004268,0.00494234310463,0.046339429915,1,51.1965904236,0,149.495819092,13.7164287567,14.4826173782
0.101730369031,50.8482017517,50.3511276245,32,-0.0692373663187,0.652753124169,-0.0046957982704,0.0046958271414,0.0439448989928,1,50.8482017517,0,153.395874023,9.83088779449,15.3412876129
0.101065911353,50.8426361084,50.3452301025,32,-0.0698667988181,0.65868414016,-0.00469155563042,0.00469158450142,0.0439037457108,1,50.8426361084,0,153.458145142,9.76875782013,15.355009079
0.0753261893988,50.3733825684,49.8561859131,32,-0.122182331979,1.15051859833,-0.00457126880065,0.00457129674032,0.0426754206419,1,50.3733825684,0,155.746154785,7.49949789047,15.8808765411
0.0749152228236,50.3658866882,49.8483772278,32,-0.123017817736,1.1583718526,-0.00456909928471,0.00456912722439,0.0426534228027,1,50.3658866882,0,155.782653809,7.46319007874,15.8892784119
0.0514593012631,49.7456245422,49.2107925415,32,-0.1914165169,1.79961487535,-0.00401566689834,0.00401569204405,0.0373435206711,1,49.7456245422,0,157.80140686,5.46760892868,16.3867778778
0.0510850958526,49.7357139587,49.2006111145,32,-0.192508861423,1.8098547324,-0.0040062754415,0.00400630058721,0.0372534990311,1,49.7357139587,0,157.833587646,5.43566989899,16.3947257996
0.027234647423,48.9332504272,48.3862953186,32,-0.280350118876,2.62889459832,-0.00262828404084,0.00262829917483,0.0243505463004,1,48.9332504272,0,159.831436157,3.46513915062,16.8850784302
0.0268544089049,48.9204292297,48.3732910156,32,-0.281752973795,2.64197434976,-0.00260518118739,0.00260519608855,0.0241342689842,1,48.9204292297,0,159.863250732,3.43360137939,16.8929100037
0.000656371412333,47.9087791443,47.3600959778,32,-0.391285985708,3.66107280693,6.96481292835e-05,-6.96492788848e-05,-0.000676072086208,1,47.9087791443,0,162.007858276,1.31921768188,17.337720871
0.000238892738707,47.8926200867,47.343914032,32,-0.393035233021,3.67734902382,0.00011428380094,-0.000114285197924,-0.00109010073356,1,47.8926200867,0,162.042007446,1.28539144993,17.3448200226
-0.0303081516176,46.6565895081,46.1234474182,32,-0.52446615696,4.90487207578,0.00451630400494,-0.00451633101329,-0.0426454134285,1,46.6565895081,0,164.492462158,-1.13421988487,17.6503200531
-0.0307948905975,46.636844635,46.1039581299,32,-0.526565134525,4.92447406717,0.00458959164098,-0.004589619115,-0.0433374121785,1,46.636844635,0,164.531478882,-1.17290079594,17.6551876068
-0.0678774416447,45.181438446,44.6897506714,32,-0.675678312778,6.34652099874,0.0107144964859,-0.0107145607471,-0.105634711683,1,45.181438446,0,167.456710815,-4.06950139999,17.5696372986
-0.0684684738517,45.1581916809,44.6671638489,32,-0.678059697151,6.36923301192,0.0108163263649,-0.0108163915575,-0.106671050191,1,45.1581916809,0,167.503295898,-4.11576986313,17.5682525635
-0.112853899598,43.5154953003,43.1000175476,32,-0.833848237991,7.94410367297,0.0171605926007,-0.0171607080847,-0.188090980053,1,43.5154953003,0,170.963348389,-7.55207538605,16.5482597351
-0.113561600447,43.4892578125,43.0749893188,32,-0.836336195469,7.96925525676,0.0172659158707,-0.017266029492,-0.189444676042,1,43.4892578125,0,171.018478394,-7.60692739487,16.5319404602
-0.164043411613,41.7217063904,41.4215888977,32,-0.978485822678,9.62875502149,0.0207928922027,-0.0207930449396,-0.282250672579,1,41.7217063904,0,174.892379761,-11.4746446609,14.0265493393
-0.164848640561,41.6934738159,41.3951835632,32,-0.980755984783,9.65525776333,0.0208504572511,-0.0208506118506,-0.283781528473,1,41.6934738159,0,174.954147339,-11.5362997055,13.9864959717
-0.165713623166,41.6646232605,41.3687362671,32,-0.982461690903,9.68176000675,0.0207869689912,-0.0207871235907,-0.285129249096,1,41.6646232605,0,175.018676758,-11.6005134583,13.9128351212
-0.219914376736,39.8583106995,39.7126274109,32,-1.08926856518,11.3413094191,0.0169338881969,-0.0169340651482,-0.36569237709,1,39.8583106995,0,179.063461304,-15.6229019165,9.30299663544
-0.220635801554,39.8303375244,39.6874847412,32,-1.09006750584,11.3664647792,0.0166927427053,-0.0166929196566,-0.36641138792,1,39.8303375244,0,179.114761353,-15.6740732193,9.17465591431
-0.265853852034,38.0788803101,38.1131401062,32,-1.14009308815,12.9416040076,0.00220159697346,-0.0022017522715,-0.409661054611,1,38.0788803101,0,182.331756592,-18.8843708038,1.14170861244
-0.266123354435,38.0533065796,38.0904350281,32,-1.1396433115,12.9643135402,0.00189014885109,-0.00189030356705,-0.409278452396,1,38.0533065796,0,182.346374512,-18.8988780975,0.979426145554
-0.28304579854,36.4519119263,36.6687698364,32,-1.11147844791,14.3862576941,-0.0168151855469,0.0168150551617,-0.386304557323,1,36.4519119263,0,183.26423645,-19.8140068054,-9.17905521393
-0.282907932997,36.4298324585,36.6492156982,32,-1.11009550095,14.405860675,-0.0170158650726,0.0170157346874,-0.385172694921,1,36.4298324585,0,183.2447052,-19.7944087982,-9.3317489624
-0.27432101965,35.0474357605,35.4246788025,32,-1.02349972725,15.6334556559,-0.0290660485625,0.0290659815073,-0.317199200392,1,35.0474357605,0,182.024261475,-18.5737228394,-18.8908615112
-0.274015545845,35.0292053223,35.4085159302,32,-1.0215909481,15.649730848,-0.0291459225118,0.0291458573192,-0.315937936306,1,35.0292053223,0,181.985809326,-18.5352191925,-19.0398521423
-0.254922896624,33.8878173828,34.3963813782,32,-0.902070403099,16.6688979158,-0.0339433252811,0.0339432880282,-0.240185856819,1,33.8878173828,0,179.579360962,-16.1298007965,-28.3675956726
