"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.171717554331,51.4511795044,51.0001983643,32,0,0,-0.00516104325652,0.00516107631847,0.0484269857407,1,0.450981348753,-0.105383485556,146.778579712,16.4218502045,13.8925905228
0.143754512072,51.200592041,50.7247505188,32,-0.0293554309756,0.277007683821,-0.00494614755735,0.0049461806193,0.046376015991,1,0.47584182024,-0.105465166271,149.453140259,13.7590103149,14.4733400345
0.143308788538,51.1965866089,50.7203521729,32,-0.0298242419958,0.281430944026,-0.00494233658537,0.00494236964732,0.0463396795094,1,0.476237177849,-0.105466477573,149.495742798,13.7164974213,14.4826021194
0.101730838418,50.8482017517,50.3511276245,32,-0.0692373663187,0.652753124169,-0.00469581969082,0.00469584856182,0.0439450964332,1,0.497075051069,-0.105657763779,153.395828247,9.83092689514,15.3412790298
0.101066373289,50.8426361084,50.3452301025,32,-0.0698667988181,0.65868414016,-0.00469157705083,0.00469160592183,0.0439039431512,1,0.497405558825,-0.105660811067,153.458099365,9.76879692078,15.3550004959
0.0753265097737,50.3733787537,49.8561859131,32,-0.122182331979,1.15051859833,-0.00457128835842,0.0045713162981,0.0426756031811,1,0.517194569111,-0.105913996696,155.746124268,7.49952507019,15.8808698654
0.0749155431986,50.3658828735,49.8483772278,32,-0.123017817736,1.1583718526,-0.00456911884248,0.00456914678216,0.0426536090672,1,0.51750767231,-0.105918034911,155.782623291,7.46321725845,15.8892717361
0.0514595471323,49.7456245422,49.2107925415,32,-0.1914165169,1.79961487535,-0.00401568645611,0.00401571113616,0.0373436994851,1,0.534829199314,-0.106344126165,157.801391602,5.46762895584,16.3867721558
0.0510853417218,49.7357139587,49.2006111145,32,-0.192508861423,1.8098547324,-0.00400629499927,0.00400631967932,0.0372536815703,1,0.535102128983,-0.106350928545,157.833572388,5.43568992615,16.3947200775
0.0272348448634,48.9332466125,48.3862953186,32,-0.280350118876,2.62889459832,-0.00262830359861,0.00262831896544,0.0243507307023,1,0.546950876713,-0.106744922698,159.83140564,3.46515488625,16.8850746155
0.0268546063453,48.920425415,48.3732910156,32,-0.281752973795,2.64197434976,-0.00260520074517,0.00260521587916,0.0241344533861,1,0.547135770321,-0.106751218438,159.863235474,3.4336168766,16.892906189
0.00065653771162,47.9087791443,47.3600959778,32,-0.391285985708,3.66107280693,6.96277638781e-05,-6.96288916515e-05,-0.000675883376971,1,0.548684000969,-0.106664568186,162.007827759,1.31922984123,17.3377189636
0.000239058514126,47.8926200867,47.343914032,32,-0.393035233021,3.67734902382,0.000114263413707,-0.000114264796139,-0.00108991190791,1,0.548703849316,-0.106663182378,162.041976929,1.28540349007,17.3448181152
-0.030308008194,46.6565895081,46.1234474182,32,-0.52446615696,4.90487207578,0.00451628305018,-0.0045163105242,-0.0426452234387,1,0.533140420914,-0.105394184589,164.492446899,-1.13421058655,17.6503181458
-0.0307947471738,46.636844635,46.1039581299,32,-0.526565134525,4.92447406717,0.00458957068622,-0.0045895986259,-0.0433372221887,1,0.53288680315,-0.10537391901,164.531463623,-1.17289149761,17.6551856995
-0.0678773149848,45.181438446,44.6897506714,32,-0.675678312778,6.34652099874,0.0107144769281,-0.0107145411894,-0.105634517968,1,0.491691768169,-0.101426646113,167.456710815,-4.06949472427,17.5696353912
-0.0684683471918,45.1581916809,44.6671638489,32,-0.678059697151,6.36923301192,0.0108163068071,-0.0108163719997,-0.106670856476,1,0.491029083729,-0.101363606751,167.503295898,-4.11576318741,17.5682506561
-0.11285379529,43.5154953003,43.1000175476,32,-0.833848237991,7.94410367297,0.0171605758369,-0.0171606913209,-0.188090801239,1,0.415478378534,-0.0920421332121,170.96333313,-7.55207061768,16.5482597351
-0.113561496139,43.4892578125,43.0749893188,32,-0.836336195469,7.96925525676,0.0172658991069,-0.0172660127282,-0.189444497228,1,0.41426768899,-0.0918932706118,171.018463135,-7.6069226265,16.5319404602
-0.164043322206,41.7217063904,41.4215888977,32,-0.978485822678,9.62875502149,0.0207928791642,-0.0207930319011,-0.282250493765,1,0.300117790699,-0.0750547423959,174.892379761,-11.4746417999,14.0265483856
-0.164848551154,41.6934738159,41.3951835632,32,-0.980755984783,9.65525776333,0.0208504442126,-0.0208505988121,-0.283781349659,1,0.29829159379,-0.0747858285904,174.954147339,-11.5362968445,13.986495018
-0.165713533759,41.6646232605,41.3687362671,32,-0.982461690903,9.68176000675,0.0207869559526,-0.0207871105522,-0.285129070282,1,0.295890510082,-0.0743645429611,175.018676758,-11.6005105972,13.9128341675
-0.219914287329,39.8583106995,39.7126274109,32,-1.08926856518,11.3413094191,0.0169338807464,-0.0169340576977,-0.365692257881,1,0.14568194747,-0.0479847863317,179.063461304,-15.6229000092,9.30299663544
-0.220635712147,39.8303375244,39.6874847412,32,-1.09006750584,11.3664647792,0.0166927352548,-0.0166929122061,-0.366411268711,1,0.142852008343,-0.0473243519664,179.114761353,-15.674071312,9.17465591431
-0.265853762627,38.0788803101,38.1131401062,32,-1.14009308815,12.9416040076,0.00220159580931,-0.00220175110735,-0.409660965204,1,-0.034258633852,-0.00597002357244,182.331741333,-18.8843688965,1.14170849323
-0.266123265028,38.0533065796,38.0904350281,32,-1.1396433115,12.9643135402,0.00189014780335,-0.00189030251931,-0.409278362989,1,-0.0371297933161,-0.00516748661175,182.346359253,-18.8988761902,0.979426026344
-0.283045738935,36.4519119263,36.6687698364,32,-1.11147844791,14.3862576941,-0.0168151836842,0.0168150514364,-0.386304467916,1,-0.216859713197,0.0450848005712,183.26423645,-19.8140048981,-9.17905521393
-0.282907903194,36.4298324585,36.6492156982,32,-1.11009550095,14.405860675,-0.01701586321,0.0170157309622,-0.385172605515,1,-0.21938124299,0.045844592154,183.2447052,-19.7944068909,-9.3317489624
-0.274320960045,35.0474357605,35.4246788025,32,-1.02349972725,15.6334556559,-0.0290660448372,0.0290659759194,-0.317199140787,1,-0.377244949341,0.0934204086661,182.024261475,-18.573720932,-18.8908615112
