"C_p_2nd","C_p_ise","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.523516833782,0.507428228855,1.13266324997,1.11274826527,1.07700002193,0,0,-3.93507525587e-06,1.10401413167e-06,2.95525533147e-05,1,0.0199153181165,-0.131208211184,205.29119873,12.4913349152,34.3879356384
0.503911435604,0.488952279091,1.1317306757,1.11147928238,1.07700002193,-0.000168968108483,0.00128018271737,-3.83868700737e-06,1.07692778784e-06,2.8920620025e-05,1,0.0202517881989,-0.130593731999,208.322219849,11.6458406448,34.3697166443
0.432585030794,0.421806842089,1.12831437588,1.10682237148,1.07700002193,-0.000789052748587,0.00597819549481,-3.44024169863e-06,9.64958985605e-07,2.63099482254e-05,1,0.0214928630739,-0.128365069628,219.367675781,8.58305454254,34.3066101074
0.405807465315,0.396398037672,1.12714409828,1.10541808605,1.07700002193,-0.000967829662841,0.00739381506113,-3.2894472497e-06,9.22599610931e-07,2.52760255535e-05,1,0.0217268932611,-0.127666145563,223.479400635,7.37991333008,34.3187980652
0.30847671628,0.304109483957,1.12285530567,1.10026478767,1.07700002193,-0.00162391108461,0.012588709382,-2.66781898972e-06,7.47977765059e-07,2.10157504625e-05,1,0.0225918944925,-0.125131264329,238.446990967,3.04274272919,34.3652267456
0.295959413052,0.291919618845,1.12151217461,1.09871637821,1.07700002193,-0.00181980757043,0.0141494615388,-2.61331751972e-06,7.32697742478e-07,2.05905562325e-05,1,0.0227973535657,-0.125113159418,240.310531616,2.47657728195,34.4511260986
0.250120580196,0.247297555208,1.11658811569,1.09303379059,1.07700002193,-0.00253871525638,0.0198773433777,-2.38589154833e-06,6.68936593229e-07,1.88160938706e-05,1,0.0235563386232,-0.125047519803,247.145523071,0.440488636494,34.764957428
0.239650204778,0.237020716071,1.11506652832,1.09133207798,1.07700002193,-0.0027550784871,0.0215927555291,-2.33324203691e-06,6.54179984849e-07,1.8396141968e-05,1,0.023736635223,-0.125077903271,248.684814453,-0.0309680625796,34.8484725952
0.201172798872,0.199262842536,1.10948562622,1.08508682251,1.07700002193,-0.00354909594171,0.0278882840698,-2.11194105759e-06,5.92153526213e-07,1.6631303879e-05,1,0.0244015417993,-0.12518812716,254.350219727,-1.73107194901,35.1541023254
0.191690281034,0.189913004637,1.10777521133,1.08322286606,1.07700002193,-0.00378544372506,0.0297671651005,-2.05028118216e-06,5.74822365706e-07,1.61618881975e-05,1,0.0245552007109,-0.125020414591,255.738052368,-2.15446734428,35.1735038757
0.156761527061,0.155475631356,1.10149908066,1.07638251781,1.07700002193,-0.0046527995728,0.0366622844078,-1.79041364845e-06,5.01783858908e-07,1.41819637065e-05,1,0.0251200590283,-0.124412178993,260.857025146,-3.68826913834,35.2472610474
0.147995129228,0.146804720163,1.09958910942,1.07434844971,1.07700002193,-0.00490816868842,0.0387123201274,-1.71899819179e-06,4.81660720197e-07,1.36493763421e-05,1,0.0252443458885,-0.123990431428,262.138946533,-4.07420444489,35.1870079041
0.115647234023,0.114808164537,1.09257829189,1.06688404083,1.07700002193,-0.00584532925859,0.046235329484,-1.41772079587e-06,3.9678221242e-07,1.13982914627e-05,1,0.0256986059248,-0.122460827231,266.874237061,-5.48031711578,34.9724617004
0.107654206455,0.10688509047,1.09045934677,1.06467318535,1.07700002193,-0.00611680699512,0.0484627904001,-1.33994547014e-06,3.74848440288e-07,1.08154008558e-05,1,0.0257906746119,-0.12174603343,268.046203613,-5.82472705841,34.8196525574
0.0781063809991,0.0775925889611,1.08267819881,1.05656003952,1.07700002193,-0.00711308419704,0.0566368777188,-1.01159207588e-06,2.82279472685e-07,8.3466511569e-06,1,0.0261234119534,-0.11915358156,272.381439209,-7.08822154999,34.2698669434
0.0710520148277,0.0705886632204,1.08034443855,1.0541677475,1.07700002193,-0.00739723118022,0.0590459855682,-9.33986996188e-07,2.60460382151e-07,7.74166710471e-06,1,0.0261821839958,-0.118223011494,273.419403076,-7.38090515137,34.0447998047
0.0449099056423,0.0446293242276,1.07177102566,1.04538822174,1.07700002193,-0.00844000186771,0.0678872209582,-6.05819025168e-07,1.68248220689e-07,5.17192302141e-06,1,0.026388976723,-0.114847972989,277.266479492,-8.46440601349,33.2331504822
0.0387975014746,0.0385532788932,1.06922006607,1.04281187057,1.07700002193,-0.00873367860913,0.0704802561214,-5.32808087428e-07,1.47893715052e-07,4.56334419141e-06,1,0.0264145582914,-0.113802447915,278.168731689,-8.70201969147,32.9649925232
0.0160753596574,0.0159622561187,1.05984544754,1.0333571434,1.07700002193,-0.00981142558157,0.0799962113782,-2.2332741878e-07,6.16942941178e-08,1.96926043827e-06,1,0.0264953877777,-0.11001047492,281.521331787,-9.59298324585,31.9970569611
0.010774705559,0.0106884129345,1.0570782423,1.03059720993,1.07700002193,-0.0101119661704,0.0827724601808,-1.56515127969e-07,4.33482547635e-08,1.36285154895e-06,1,0.0264883823693,-0.108940586448,282.305267334,-9.77842998505,31.7135105133
-0.00900131836534,-0.00899093970656,1.046905756,1.02046883106,1.07700002193,-0.0112148979679,0.092960714057,1.27521587956e-07,-3.45414896685e-08,-1.23153415643e-06,1,0.0264450553805,-0.105060234666,285.226776123,-10.4871740341,30.6896286011
-0.0137236053124,-0.0136922886595,1.04392635822,1.01752901077,1.07700002193,-0.0115203401074,0.0959163592041,1.89063797507e-07,-5.10648447971e-08,-1.84453517704e-06,1,0.0264058075845,-0.104035384953,285.924560547,-10.6286687851,30.4130477905
-0.0314040668309,-0.0312967337668,1.03297042847,1.00674033165,1.07700002193,-0.0126412631944,0.106763112902,4.51446510397e-07,-1.21388623597e-07,-4.4751045607e-06,1,0.0262392330915,-0.100318409503,288.532592773,-11.1851663589,29.4142417908
-0.0358713120222,-0.0357456840575,1.02978551388,1.0036277771,1.07700002193,-0.012950158678,0.109890957567,5.10741813287e-07,-1.36862681188e-07,-5.12031556354e-06,1,0.0261670518667,-0.0993781164289,289.18951416,-11.2961034775,29.1586265564
-0.0526327304542,-0.0524396821856,1.01806974411,0.992205440998,1.07700002193,-0.0140837533399,0.121369406891,7.63924504099e-07,-2.0279911439e-07,-7.89210844232e-06,1,0.0258743390441,-0.0959678292274,291.648925781,-11.7495927811,28.2356815338
-0.057197637856,-0.0569859854877,1.01468753815,0.988931238651,1.07700002193,-0.0143949892372,0.124658368549,8.24566200208e-07,-2.18107814476e-07,-8.60617183207e-06,1,0.0257665812969,-0.0950991436839,292.315155029,-11.8461837769,27.9994297028
