x,y,z
11.1967859292356,0.08490201661859188,0.0
10.96351955570986,0.16980403323718313,0.0
10.730253182184118,0.254706049855775,0.0
10.496986808658376,0.3396080664743669,0.0
10.263720435132635,0.4245100830929581,0.0
10.030454061606893,0.50941209971155,0.0
9.79718768808115,0.594314116330142,0.0
9.56392131455541,0.6792161329487332,0.0
9.330654941029668,0.764118149567325,0.0
9.097388567503927,0.8490201661859162,0.0
8.864122193978185,0.9339221828045082,0.0
8.630855820452442,1.0188241994231,0.0
8.397589446926702,1.1037262160416914,0.0
8.16432307340096,1.1886282326602833,0.0
7.931056699875217,1.2735302492788751,0.0
7.697790326349476,1.3584322658974666,0.0
7.464523952823734,1.4433342825160582,0.0
7.231257579297992,1.52823629913465,0.0
6.997991205772251,1.6131383157532417,0.0
6.764724832246509,1.6980403323718332,0.0
6.531458458720767,1.782942348990425,0.0
6.2981920851950255,1.8678443656090167,0.0
6.064925711669284,1.9527463822276083,0.0
5.831659338143542,2.0376483988462,0.0
5.5983929646178,2.122550415464792,0.0
5.365126591092059,2.2074524320833833,0.0
5.1318602175663175,2.2923544487019747,0.0
4.898593844040575,2.3772564653205666,0.0
4.665327470514834,2.4621584819391584,0.0
4.432061096989092,2.54706049855775,0.0
4.19879472346335,2.6319625151763417,0.0
3.9655283499376086,2.716864531794933,0.0
3.732261976411867,2.801766548413525,0.0
3.498995602886125,2.886668565032117,0.0
3.2657292293603835,2.9715705816507083,0.0
3.032462855834641,3.0564725982693,0.0
2.7991964823089006,3.1413746148878916,0.0
2.5659301087831583,3.2262766315064835,0.0
2.332663735257416,3.3111786481250753,0.0
2.0993973617316755,3.3960806647436663,0.0
1.8661309882059331,3.480982681362258,0.0
1.6328646146801908,3.56588469798085,0.0
1.3995982411544503,3.6507867145994415,0.0
1.166331867628708,3.7356887312180334,0.0
0.9330654941029657,3.8205907478366252,0.0
0.6997991205772252,3.9054927644552166,0.0
0.46653274705148284,3.9903947810738085,0.0
0.23326637352574053,4.0752967976924,0.0
0.0,4.160198814310991,0.0
