"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
0.153735309839,23.0003013611,4,0,0,1,23.4025230408,0,146.508605957,15.9710874557,0.704702675343
-0.0425430871546,22.4474163055,4,-0.058969181031,0.556020906939,1,22.8284645081,0,165.132263184,-2.354855299,16.9346809387
-0.0599206835032,22.403219223,4,-0.0636830478907,0.600468658783,1,22.7821292877,0,166.755783081,-3.9065182209,18.2485771179
-0.0632594004273,21.0673675537,4,-0.206896409392,1.94397517135,1,21.4083843231,0,167.032958984,-3.39325809479,18.3195762634
-0.0634340494871,20.9605827332,4,-0.218344569206,2.05137190438,1,21.2975120544,0,167.053894043,-3.23883724213,18.3130989075
-0.111222453415,18.1980400085,4,-0.516330182552,4.82993947258,1,18.4170761108,0,170.764572144,-5.32386398315,18.0098419189
-0.114444628358,17.9772071838,4,-0.540150463581,5.05205327732,1,18.1845817566,0,171.017868042,-5.36537075043,17.9677734375
-0.179562270641,13.7343969345,4,-0.948146998882,9.31443523869,1,13.6208686829,0,176.25843811,-8.81541252136,11.9936914444
-0.183683007956,13.395236969,4,-0.980761349201,9.65515972864,1,13.2542705536,0,176.599868774,-8.99647331238,11.507566452
-0.183613047004,13.0548191071,4,-0.990851521492,9.99572709687,1,12.8801422119,0,176.580093384,-9.14874172211,10.1737289429
-0.199486449361,8.79629611969,4,-1.11707651615,14.2561203631,1,8.1898431778,0,177.593566895,-10.9174833298,-6.79843902588
-0.191782251,8.57551002502,4,-1.09411120415,14.4780976258,1,7.95032596588,0,176.784667969,-10.4087963104,-8.58994007111
-0.105399504304,5.81353092194,4,-0.806821227074,17.2549779072,1,4.92339992523,0,167.557937622,-2.68644547462,-31.3679389954
-0.0839712023735,5.71039056778,4,-0.777601838112,17.3621772791,1,4.81641769409,0,164.849517822,-0.177894338965,-32.1786994934
0.188404977322,4.42013120651,4,-0.412075400352,18.7032137425,1,3.45795321465,0,130.72644043,32.9290771484,-41.9218635559
0.1951751858,4.38903284073,4,-0.381573289633,18.7467738976,1,3.43112373352,0,129.331588745,34.353729248,-37.5506401062
0.277398347855,4,4,0,19.2917002472,1,3.09306311607,0,111.875106812,51.9490623474,18.6248130798
-0.0289839692414,4.38903284073,4,0.381573289633,19.8366265968,1,3.56231760979,0,145.48928833,18.7984313965,60.8213691711
-0.0519895963371,4.42013120651,4,0.412075400352,19.8801867519,1,3.59870672226,0,148.083816528,16.2802848816,64.1154556274
-0.268710404634,5.71039056778,4,0.777601838112,21.2212232153,1,5.10652208328,0,177.495315552,-11.6328277588,38.4835777283
-0.286524355412,5.81353092194,4,0.806821227074,21.3284225872,1,5.22472476959,0,179.889190674,-13.7421655655,36.5363769531
-0.282151848078,8.57551002502,4,1.09411120415,24.1053028686,1,8.40354633331,0,182.969238281,-15.5413761139,9.65455150604
-0.283721476793,8.79629611969,4,1.11707651615,24.3272801313,1,8.65537643433,0,183.350997925,-15.6407442093,7.56876993179
-0.194313615561,13.0548191071,4,0.990851521492,28.5876733975,1,13.420416832,0,177.225112915,-10.1430845261,-10.0221405029
-0.189175784588,13.395236969,4,0.980761349201,28.9282407658,1,13.8022289276,0,176.873977661,-9.77850437164,-11.4072313309
-0.178275123239,13.7343969345,4,0.948146998882,29.2689652557,1,14.1646089554,0,176.014343262,-9.34525108337,-11.8291292191
-0.0338608063757,17.9772071838,4,0.540150463581,33.5313472171,1,18.646856308,0,164.703308105,-1.15978884697,-16.859418869
-0.0226742308587,18.1980400085,4,0.516330182552,33.7534610218,1,18.8658733368,0,163.771530151,-0.492786496878,-16.7606544495
0.0999527275562,20.9605827332,4,0.218344569206,36.53202859,1,21.5842838287,0,153.439254761,8.73685836792,-15.5641269684
0.110396854579,21.0673675537,4,0.206896409392,36.639425323,1,21.6823635101,0,152.389434814,9.79151916504,-15.3326206207
0.228847578168,22.403219223,4,0.0636830478907,37.9829318356,1,22.9120063782,0,140.424438477,21.8169460297,-12.6873998642
0.222490102053,22.4474163055,4,0.058969181031,38.0273795875,1,22.94805336,0,140.93939209,21.3544902802,-11.6861352921
0.153735309839,23.0003013611,4,0,38.5834004944,1,23.4025230408,0,146.508605957,15.9710874557,0.704702675343
