"C_p","Points:0","Points:1","Points:2","arc_length","mu","sigma","v:0","v:1","v:2"
0.397029042244,-0.311131536961,0.25,0.0114782294258,0,0.0147991776466,-0.193640857935,-43.3994369507,0.0895698443055,15.2248878479
0.443412840366,-0.3125,0.25,0.0118908379227,0.00142931342324,0.01451258827,-0.15261991322,-42.3765449524,-0.115996681154,12.7771139145
0.468671113253,-0.311076283455,0.25,0.0117670055479,0.00285840518302,0.024527637288,-0.097028195858,-43.1125068665,-0.12486308068,1.6902474165
0.45864251256,-0.310824722052,0.25,0.0117451250553,0.00311091636212,0.0245888605714,-0.104835540056,-43.5372505188,-0.0884153321385,1.35689485073
0.343865811825,-0.306497335434,0.25,0.0118223903701,0.00743899270937,0.025557808578,-0.142617687583,-48.103187561,-0.0701545104384,-0.185460299253
0.32843285799,-0.305732727051,0.25,0.0118360426277,0.00820372296493,0.0256979558617,-0.149293452501,-48.6938362122,-0.0660394355655,-0.480852067471
0.249111041427,-0.298637330532,0.25,0.0118545638397,0.0152991436567,0.0266833975911,-0.139875426888,-51.5339698792,-0.043993730098,-0.0275887995958
0.236989930272,-0.297383636236,0.25,0.0118578365073,0.0165528422241,0.0268400218338,-0.138211354613,-51.962387085,-0.0457200445235,0.053998645395
0.193951398134,-0.287651479244,0.25,0.0118135474622,0.0262850999907,0.0278426911682,-0.13515727222,-53.4105110168,-0.0378853492439,0.217725142837
0.187030151486,-0.285931885242,0.25,0.0118057215586,0.0280047118003,0.0280119571835,-0.134617641568,-53.642616272,-0.041161287576,0.246724292636
0.155268654227,-0.273720741272,0.25,0.0117489797994,0.0402159876016,0.0289681982249,-0.133991152048,-54.6806983948,-0.0429253913462,0.28646761179
0.149862706661,-0.271563142538,0.25,0.0117389541119,0.0423736096285,0.0291344560683,-0.133880451322,-54.8572845459,-0.0459834299982,0.293456405401
0.121946044266,-0.257073938847,0.25,0.01165145915,0.0568630774925,0.0300118513405,-0.136336654425,-55.7497253418,-0.051817946136,0.157608523965
0.117045618594,-0.254513829947,0.25,0.0116359991953,0.0594232330718,0.0301665011793,-0.136770650744,-55.9064064026,-0.053982205689,0.133610233665
0.0867571383715,-0.237956732512,0.25,0.0116556873545,0.0759803422124,0.0308557134122,-0.139820873737,-56.8558158875,-0.060185495764,-0.038028087467
0.0813822820783,-0.235031247139,0.25,0.0116591658443,0.078905829653,0.0309778526425,-0.140359818935,-57.0243339539,-0.0613632276654,-0.068348146975
0.0510061644018,-0.21669948101,0.25,0.0116813080385,0.0972376091539,0.0313779041171,-0.140405654907,-57.95885849,-0.0659796446562,-0.0721748992801
0.0456056147814,-0.213460415602,0.25,0.0116852205247,0.100476676926,0.0314489603043,-0.140413761139,-58.1250305176,-0.0663491338491,-0.072852268815
0.016058081761,-0.193688720465,0.25,0.0117108859122,0.120248388721,0.0315395668149,-0.140817329288,-59.016582489,-0.0687108561397,-0.0982695817947
0.0108090974391,-0.19019523263,0.25,0.0117154205218,0.123741879498,0.0315557047725,-0.140888631344,-59.1749687195,-0.0685234442353,-0.102761693299
-0.0178472809494,-0.169385448098,0.25,0.0117605188861,0.144551712898,0.031272765249,-0.1394636482,-60.0254936218,-0.0687381029129,-0.016611430794
-0.0229305308312,-0.16570854187,0.25,0.0117684872821,0.14822862776,0.0312226340175,-0.139211863279,-60.1763572693,-0.0682200193405,-0.00138948881067
-0.0496038272977,-0.144263044,0.25,0.0117237037048,0.16967417239,0.0306093860418,-0.138445138931,-60.9551887512,-0.0667226910591,0.0445863977075
-0.0543297156692,-0.140473812819,0.25,0.0117157911882,0.173463411833,0.0305006895214,-0.138309657574,-61.0931663513,-0.0660370215774,0.0527110993862
-0.0830816477537,-0.118544861674,0.25,0.0117233498022,0.19539236428,0.0295325871557,-0.138616740704,-61.9192619324,-0.0632913336158,0.035030271858
-0.0881702750921,-0.114670217037,0.25,0.0117246853188,0.199267009147,0.0293610487133,-0.138670995831,-62.065448761,-0.0625325217843,0.0319059044123
-0.118234992027,-0.0925892144442,0.25,0.011694685556,0.221348032119,0.0280058700591,-0.138051003218,-62.916305542,-0.0589409284294,0.0713990479708
-0.123552910984,-0.0886877030134,0.25,0.0116893844679,0.225249547151,0.0277658496052,-0.137941449881,-63.066783905,-0.0581616647542,0.0783782526851
-0.16058537364,-0.0672204494476,0.25,0.0116651551798,0.24671681439,0.0260999687016,-0.140983864665,-64.0939254761,-0.0540803521872,-0.119984731078
-0.167133405805,-0.0634273812175,0.25,0.0116608738899,0.250509885037,0.0258050132543,-0.141521424055,-64.2755203247,-0.0533154346049,-0.155039414763
-0.211842000484,-0.0427720434964,0.25,0.0117822047323,0.271165579108,0.0236765630543,-0.140353158116,-65.4932327271,-0.0489454865456,-0.0753682777286
-0.219746232033,-0.0391224324703,0.25,0.0118036428466,0.274815253098,0.0232998561114,-0.14014673233,-65.708480835,-0.048201225698,-0.0612880811095
-0.272502571344,-0.0192355364561,0.25,0.0117260022089,0.29470230067,0.0208060853183,-0.141100943089,-67.1091308594,-0.0436595194042,-0.135358899832
-0.28182926774,-0.0157217010856,0.25,0.0117122838274,0.29821616282,0.0203648153692,-0.141269549727,-67.3567047119,-0.0429334826767,-0.148450270295
-0.349103093147,0.0027983430773,0.25,0.0118631143123,0.316736821167,0.0174237675965,-0.139420956373,-69.0953598022,-0.0383733808994,-0.0102054951712
-0.360996067524,0.00607066787779,0.25,0.0118897650391,0.320009254491,0.0169034767896,-0.13909432292,-69.402671814,-0.0376746281981,0.0142276305705
-0.437955141068,0.0227035172284,0.25,0.0117518156767,0.336642675894,0.0136829717085,-0.135481953621,-71.3339996338,-0.0332426652312,0.264419287443
-0.4515607059,0.0256423912942,0.25,0.0117274411023,0.339581651037,0.0131133273244,-0.134843677282,-71.6753768921,-0.032582513988,0.308631658554
-0.551654160023,0.0403296127915,0.25,0.0117208966985,0.354268873993,0.00967761967331,-0.134962275624,-74.0909423828,-0.0283254906535,0.319517493248
-0.569350063801,0.0429247133434,0.25,0.0117197399959,0.356863974802,0.00906998291612,-0.134983226657,-74.5179214478,-0.0277032367885,0.321443408728
-0.755574345589,0.0559658780694,0.25,0.011615251191,0.369905558116,0.00529834860936,-0.139240294695,-78.7519760132,-0.0235338583589,-0.0328329838812
-0.78849697113,0.0582701340318,0.25,0.0115967886522,0.372209888041,0.00463137216866,-0.13999247551,-79.5003662109,-0.0229319892824,-0.0954459831119
-1.16658091545,0.0697248280048,0.25,0.0117076514289,0.383665118487,1.57931190188e-05,-0.119648739696,-87.2738113403,-0.0186886880547,1.9024579525
-1.23342192173,0.0717487707734,0.25,0.0117272399366,0.385689156046,-0.000800306210294,-0.116054184735,-88.6477737427,-0.0180814247578,2.25556015968
-1.77282083035,0.0816565454006,0.25,0.0111701199785,0.395612581902,-0.00669459067285,-0.0143258897588,-97.5380401611,-0.0135873742402,12.9347324371
-1.86818671227,0.0834071561694,0.25,0.0110716819763,0.397365958103,-0.00773666240275,0.00364858284593,-99.1095046997,-0.0129485493526,14.8221292496
-2.34004449844,0.0916172862053,0.25,0.00914581585675,0.405798940702,-0.0144393537194,0.187645688653,-101.366600037,-0.00820377841592,35.5556716919
-2.42349004745,0.0930679440498,0.25,0.00880553293973,0.407288974476,-0.0156243015081,0.22015632689,-101.765975952,-0.00753273302689,39.2202033997
-2.48168992996,0.099129460752,0.25,0.00551900500432,0.414184135866,-0.0223199035972,0.472738951445,-86.6316299438,-0.0027470625937,64.9296798706
-2.49203252792,0.100200474262,0.25,0.00493830488995,0.415402447223,-0.023503607139,0.517368018627,-83.9573898315,-0.00207303301431,69.4741668701
-1.62413191795,0.103571102023,0.25,0.000739820301533,0.420786535293,-0.0294264685363,0.780800104141,-44.9838905334,0.00216333870776,78.2512817383
-1.47071492672,0.104166664183,0.25,-2.01411603484e-06,0.421737856789,-0.0304735954851,0.827346146107,-38.095615387,0.00275862263516,79.8031692505
-1.23592758179,0.104268871248,0.25,-0.000948906468693,0.422690249256,-0.0314444042742,0.849655270576,-32.3031806946,0.00339678651653,75.4131698608
0.0923039168119,0.104847319424,0.25,-0.00630793673918,0.428080407671,-0.0369353555143,0.975915908813,0.467056214809,0.00797177758068,50.5643692017
0.210326552391,0.104446053505,0.25,-0.00748522812501,0.429324204014,-0.0377523601055,0.968346893787,0.637175917625,0.00863756239414,44.3865623474
0.877517938614,0.102175042033,0.25,-0.0141482250765,0.436363594718,-0.0423726327717,0.925509274006,1.59163224697,0.0133577277884,9.43076705933
0.868890166283,0.101197704673,0.25,-0.0154136409983,0.43796248989,-0.0429093055427,0.905499756336,-1.12983739376,0.014019029215,5.86645174026
0.819687247276,0.0956663787365,0.25,-0.0225753895938,0.447011589821,-0.0459430553019,0.792253911495,-16.5342102051,0.0186897143722,-14.2981452942
0.769069671631,0.0940715819597,0.25,-0.0238080397248,0.449027229448,-0.0461844280362,0.770944356918,-19.4037818909,0.0193193927407,-15.4767503738
0.482479661703,0.0850456804037,0.25,-0.0307843498886,0.460434937474,-0.0475471056998,0.650340914726,-35.6433525085,0.0237440615892,-22.1417045593
0.429957419634,0.0828595533967,0.25,-0.0319370217621,0.462906334596,-0.0474844574928,0.633134961128,-37.8364524841,0.0243313424289,-22.19739151
0.132694289088,0.0704869478941,0.25,-0.0384606868029,0.476893456262,-0.0471267700195,0.53575605154,-50.2467079163,0.0284223593771,-22.5094509125
0.0873673483729,0.0677828714252,0.25,-0.0395048223436,0.479792119502,-0.0467111468315,0.519212245941,-51.9029121399,0.0289665237069,-21.9472827911
-0.169143557549,0.0524788834155,0.25,-0.0454142093658,0.496197390118,-0.0443559996784,0.425580859184,-61.274810791,0.0326987206936,-18.7637767792
-0.201013073325,0.0493463687599,0.25,-0.0461595803499,0.499417363094,-0.0436783283949,0.409167259932,-62.3854217529,0.033192910254,-17.8352394104
-0.381347060204,0.0316176041961,0.25,-0.0503780841827,0.517641107703,-0.0398403927684,0.316272884607,-68.6697311401,0.0364940911531,-12.5788173676
-0.397121250629,0.0281999148428,0.25,-0.0508304983377,0.521088611014,-0.0389978513122,0.30216011405,-69.2000045776,0.0369347035885,-11.6068239212
-0.486356765032,0.00885716360062,0.25,-0.0533909760416,0.540600096649,-0.034227181226,0.222287416458,-72.1999816895,0.0397523753345,-6.1049695015
-0.492442727089,0.00524421921,0.25,-0.0535281859338,0.544215645532,-0.0333380252123,0.21201710403,-72.3943328857,0.0401477254927,-5.35188388824
-0.526851594448,-0.0152035932988,0.25,-0.0543047301471,0.564678198093,-0.0283038374037,0.153891265392,-73.4933929443,0.0425004139543,-1.08930981159
-0.530410647392,-0.0189951471984,0.25,-0.0542739480734,0.568469876944,-0.0273575335741,0.145433813334,-73.5668258667,0.0428710132837,-0.459366947412
-0.55052703619,-0.0404538214207,0.25,-0.0540997385979,0.589929258303,-0.0220001526177,0.0975680574775,-73.9817504883,0.0448285117745,3.10608386993
-0.549062490463,-0.0444145090878,0.25,-0.0537998341024,0.593901284172,-0.0210016909987,0.0884230956435,-73.9000167847,0.0451923497021,3.77679300308
-0.540750026703,-0.0668304041028,0.25,-0.0521025024354,0.61638134832,-0.0153493089601,0.0366662852466,-73.4368515015,0.0467717535794,7.57291698456
-0.533327281475,-0.0708325207233,0.25,-0.0515780523419,0.620417681476,-0.0144084244967,0.029679980129,-73.1964797974,0.0471331812441,8.05829524994
-0.491291761398,-0.0934829115868,0.25,-0.0486098825932,0.643261723105,-0.0090821525082,-0.00985969975591,-71.8354721069,0.0482491627336,10.8054094315
-0.483447670937,-0.097438544035,0.25,-0.0479362644255,0.647274302014,-0.00824136752635,-0.0147480005398,-71.5883407593,0.0486109703779,11.1219930649
-0.439023286104,-0.119825832546,0.25,-0.0441238470376,0.669983886184,-0.00348192988895,-0.0424138195813,-70.1890182495,0.0491393618286,12.913687706
-0.432692199945,-0.123746372759,0.25,-0.0433477200568,0.673980510842,-0.00271654478274,-0.046826351434,-69.9724197388,0.0494966544211,13.1897916794
-0.396816343069,-0.145935073495,0.25,-0.0389551408589,0.696599821007,0.00161572906654,-0.0717995092273,-68.7454681396,0.0492253117263,14.7522659302
-0.388937652111,-0.149756148458,0.25,-0.0380703061819,0.700522007423,0.00231231376529,-0.07701125741,-68.4671325684,0.0495364591479,15.0603904724
-0.344271868467,-0.171381860971,0.25,-0.0330625027418,0.722719969875,0.00625450676307,-0.106507651508,-66.8900299072,0.0481023751199,16.8038196564
-0.332962155342,-0.175010353327,0.25,-0.0320771932602,0.726479862366,0.00682934327051,-0.110888704658,-66.528793335,0.0482691004872,17.0184783936
-0.268833816051,-0.195546135306,0.25,-0.0265007335693,0.747759318285,0.0100814206526,-0.135683700442,-64.4812545776,0.0452323295176,18.2324542999
-0.257001101971,-0.198937922716,0.25,-0.0255021564662,0.751295047073,0.0105002420023,-0.138283699751,-64.1282424927,0.0450926497579,18.3105068207
-0.189862698317,-0.218134090304,0.25,-0.0198506116867,0.77130586436,0.0128679694608,-0.152998700738,-62.1257972717,0.0400807857513,18.7507915497
-0.179223254323,-0.22125159204,0.25,-0.0188857652247,0.774569259182,0.0131513234228,-0.154842540622,-61.8092079163,0.039406504482,18.7782421112
-0.118807442486,-0.238895401359,0.25,-0.0134251210839,0.793038764906,0.0147511428222,-0.165277913213,-60.0118141174,0.032352425158,18.9317111969
-0.109423846006,-0.241697520018,0.25,-0.0125238345936,0.795982263899,0.0149171110243,-0.166417494416,-59.7352561951,0.0308799501508,18.9191246033
-0.0561823807657,-0.257556408644,0.25,-0.00742291240022,0.812641308159,0.0158528275788,-0.172867044806,-58.1660003662,0.0224886611104,18.8464603424
-0.0477772802114,-0.260004639626,0.25,-0.00662369932979,0.815216687058,0.0159283261746,-0.174265131354,-57.9049911499,0.0200241617858,18.8501567841
-0.000430924614193,-0.273860603571,0.25,-0.00210047373548,0.829792259316,0.0163566302508,-0.182177767158,-56.4337043762,0.0123510677367,18.8729572296
0.00895491614938,-0.275913059711,0.25,-0.00139716500416,0.831961872041,0.0163653455675,-0.184315264225,-56.1235771179,0.00899485405535,18.9012069702
0.0607467181981,-0.287529230118,0.25,0.0025832799729,0.844241096656,0.0164298061281,-0.196412622929,-54.4069595337,0.00592963816598,19.0746326447
0.0728716775775,-0.289155066013,0.25,0.00316670257598,0.845968442681,0.0163776390254,-0.199000716209,-53.9969596863,0.002418221673,19.0840015411
0.137220337987,-0.298356592655,0.25,0.00646863970906,0.855744478758,0.0161287114024,-0.213648274541,-51.8076400757,0.00964269321412,19.1872196198
0.156409174204,-0.299530893564,0.25,0.00691784452647,0.857001764562,0.016031274572,-0.217078000307,-51.1338539124,0.00785040855408,19.1243686676
0.253441751003,-0.306176900864,0.25,0.00946016423404,0.864117437581,0.0155827216804,-0.236488878727,-47.7147712708,0.0298020541668,18.9336032867
0.278157502413,-0.306884586811,0.25,0.00975224841386,0.864883030534,0.0154500333592,-0.231143206358,-46.9200401306,0.034086368978,18.3915538788
0.387959510088,-0.310889750719,0.25,0.0114053254947,0.869215928151,0.0148799540475,-0.200888887048,-43.6285629272,0.052143111825,15.665553093
0.397029042244,-0.311131536961,0.25,0.0114782294258,0.869468466405,0.0147991776466,-0.193640857935,-43.3994369507,0.0895698443055,15.2248878479
