"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.148268505931,25.4891166687,26.9900493622,7.98999977112,0,0,-0.0148402722552,0.0148403635249,0.139120131731,1,25.4891166687,0,149.31867981,10.7171735764,14.784942627
0.142268747091,25.3553619385,26.8455219269,7.98999977112,-0.0154170636088,0.145347395592,-0.0149485059083,0.0149485981092,0.140046387911,1,25.3553619385,0,149.864196777,10.1561050415,14.9107179642
0.121142975986,24.8826656342,26.3350887299,7.98999977112,-0.0698662549257,0.65867649379,-0.0151938106865,0.01519390475,0.142090082169,1,24.8826656342,0,151.776382446,8.1879234314,15.3520755768
0.112001188099,24.6411590576,26.0825119019,7.98999977112,-0.0969289019704,0.912699014267,-0.0156896654516,0.0156897623092,0.146465331316,1,24.6411590576,0,152.589157104,7.37980127335,15.5474100113
0.0797231569886,23.7878875732,25.1904773712,7.98999977112,-0.192507371306,1.80983938659,-0.0170909874141,0.0170910935849,0.158816993237,1,23.7878875732,0,155.446517944,4.54136514664,16.2345046997
0.072966389358,23.3896446228,24.7807712555,7.98999977112,-0.236756250262,2.22192804762,-0.0166926234961,0.0166927278042,0.155212819576,1,23.3896446228,0,156.020706177,3.97467017174,16.3451576233
0.0487516336143,21.982635498,23.3337974548,7.98999977112,-0.393032163382,3.67731642906,-0.0153656303883,0.0153657272458,0.143155261874,1,21.982635498,0,158.070022583,1.96729409695,16.7387294769
0.0406957305968,21.3986148834,22.7431335449,7.98999977112,-0.455926716328,4.2713194419,-0.0125835239887,0.0125836040825,0.116782851517,1,21.3986148834,0,158.756439209,1.29927027225,16.6028633118
0.0112034538761,19.3345546722,20.6570625305,7.98999977112,-0.678054392338,6.36918335111,-0.00408188998699,0.00408191559836,0.0356042794883,1,19.3345546722,0,161.256774902,-1.06492066383,16.1271381378
0.00238168612123,18.60679245,19.9350566864,7.98999977112,-0.744848489761,7.09427223559,-0.00115847995039,0.00115848332644,-0.00591162825003,1,18.60679245,0,162.038223267,-1.80768895149,15.1899280548
-0.0303746387362,16.0327911377,17.3851127625,7.98999977112,-0.980748355389,9.65510467093,0.00747306039557,-0.00747312698513,-0.131821006536,1,16.0327911377,0,164.91835022,-4.38798379898,11.8684139252
-0.0333506688476,13.4118461609,14.8273200989,7.98999977112,-1.10492432117,12.2159098139,0.00435225572437,-0.00435231765732,-0.143421202898,1,13.4118461609,0,165.379760742,-4.49027967453,3.02199029922
-0.0340015292168,12.6714448929,14.1030921936,7.98999977112,-1.14008426666,12.9409906925,0.00354688684456,-0.00354694854468,-0.146472841501,1,12.6714448929,0,165.494720459,-4.51351118088,0.53004193306
0.0218169204891,10.5517854691,12.0078983307,7.98999977112,-1.04921960831,15.0381539454,0.0117602683604,-0.0117602767423,0.0233470387757,1,10.5517854691,0,160.394760132,0.898850858212,-10.8019762039
0.0381214097142,9.953540802,11.4146537781,7.98999977112,-1.02349174023,15.6319561199,0.0151801863685,-0.0151801779866,0.0827391594648,1,9.953540802,0,158.900497437,2.49042391777,-13.9791297913
0.162181928754,8.57103347778,9.9742641449,7.98999977112,-0.8185505867,17.0868523952,0.0652178451419,-0.0652178153396,0.28278285265,1,8.57103347778,0,145.333206177,16.4692325592,-22.3125419617
0.198121592402,8.18177604675,9.56642341614,7.98999977112,-0.76052236557,17.4988006134,0.0832348018885,-0.0832347646356,0.351642876863,1,8.18177604675,0,141.366546631,20.5537872314,-24.568365097
0.352005302906,7.45430326462,8.70685195923,7.98999977112,-0.507840752602,18.3947420663,0.179169237614,-0.179169207811,0.38572254777,1,7.45430326462,0,109.696052551,52.8611030579,-10.1274375916
