"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
-0.0334371738136,31.0003013611,12,0,0,1,31.3444786072,0,131.187454224,31.5106201172,11.8332958221
-0.156065627933,30.9668464661,12,-0.0035644271411,0.033644243811,1,31.3001728058,0,146.007293701,16.6968173981,14.7520160675
-0.611116051674,30.8439006805,12,-0.0166630689055,0.157285824979,1,31.1368904114,0,200.92678833,-38.1889266968,25.4862346649
-0.546735942364,30.796831131,12,-0.0216825939715,0.204622260499,1,31.0818653107,0,197.27494812,-34.53150177,24.7124099731
-0.306794017553,30.6238574982,12,-0.0401284620166,0.378576644452,1,30.8792304993,0,183.726394653,-20.9504051208,21.8402957916
-0.283848941326,30.5581684113,12,-0.0471426099539,0.444639148271,1,30.8063182831,0,182.233627319,-19.4517116547,21.5278663635
-0.198409169912,30.3167762756,12,-0.0729183703661,0.687403546328,1,30.5379238129,0,176.695648193,-13.8788518906,20.3672084808
-0.187571808696,30.2261333466,12,-0.0826144814491,0.778563598773,1,30.4398803711,0,175.945266724,-13.1215171814,20.2149276733
-0.147235006094,29.8930397034,12,-0.118245981634,1.11355759713,1,30.0790348053,0,173.161819458,-10.2965154648,19.6481342316
-0.141469314694,29.7698955536,12,-0.131450772285,1.23740770057,1,29.9477539062,0,172.748825073,-9.87495613098,19.5734329224
-0.120024763048,29.3173599243,12,-0.179976046085,1.6925375699,1,29.4646282196,0,171.218078613,-8.29216957092,19.2940425873
-0.117207482457,29.1535491943,12,-0.197624564171,1.85729625844,1,29.2913799286,0,171.012023926,-8.07533073425,19.2665481567
-0.106743864715,28.5515766144,12,-0.262479782104,2.46275243878,1,28.6538467407,0,170.250045776,-7.24650621414,19.1616954803
-0.106093496084,28.3396720886,12,-0.285402446985,2.67589318242,1,28.4304580688,0,170.203109741,-7.1859254837,19.1505737305
-0.103689849377,27.560962677,12,-0.369639217854,3.45914549255,1,27.6084098816,0,170.031906128,-6.92825222015,19.1060905457
-0.104953885078,27.2965087891,12,-0.3981372118,3.7251304442,1,27.3294487,0,170.129943848,-7.00918626785,19.0811080933
-0.109638117254,26.3246879578,12,-0.502862274647,4.70257766371,1,26.3028869629,0,170.495025635,-7.26386737823,18.9849967957
-0.112920865417,26.0090332031,12,-0.536273956299,5.01999578638,1,25.9684829712,0,170.749099731,-7.49721670151,18.8927192688
-0.125005200505,24.8490581512,12,-0.659055888653,6.18645089648,1,24.7378540039,0,171.686431885,-8.29992580414,18.5476169586
-0.130128607154,24.4916572571,12,-0.694901287556,6.54564484378,1,24.3561439514,0,172.090682983,-8.68061161041,18.245513916
-0.148843035102,23.1782684326,12,-0.826626718044,7.86562279559,1,22.9514350891,0,173.570739746,-10.010928154,17.1270122528
-0.155133932829,22.7968578339,12,-0.859597921371,8.24845584679,1,22.5399570465,0,174.075744629,-10.4787740707,16.4732933044
-0.177998945117,21.395236969,12,-0.980761349201,9.65530396406,1,21.0258598328,0,175.918838501,-12.0998830795,14.0612621307
-0.198524281383,19.9911937714,12,-1.0697902441,11.0621669442,1,19.4940547943,0,177.592300415,-13.7403087616,9.88578224182
-0.20436565578,19.60912323,12,-1.09401702881,11.4450048155,1,19.0776691437,0,178.065353394,-14.2031078339,8.75078010559
-0.212849155068,18.2894954681,12,-1.13096702099,12.7651497817,1,17.6259746552,0,178.776062012,-14.8651952744,1.92140889168
-0.215372383595,17.9303970337,12,-1.14102196693,13.1243889605,1,17.2312316895,0,178.984146118,-15.0596923828,0.0608818866313
-0.197060972452,16.7643508911,12,-1.10900044441,14.2908747017,1,15.9504175186,0,177.510925293,-13.5819835663,-7.90137243271
-0.192268833518,16.4470462799,12,-1.10028672218,14.6082989371,1,15.6020002365,0,177.124298096,-13.1885290146,-10.0728874207
-0.15346364677,15.4726495743,12,-1.02295446396,15.5857595338,1,14.5463247299,0,173.831741333,-9.91963481903,-16.8467388153
-0.143039226532,15.2074947357,12,-1.00191068649,15.8517481219,1,14.2590446472,0,172.947280884,-9.03374004364,-18.6960353851
-0.0950597450137,14.4304666519,12,-0.902893722057,16.6350596833,1,13.4324703217,0,168.527801514,-4.64957857132,-24.8105430603
-0.082078628242,14.2190198898,12,-0.875949025154,16.8482163156,1,13.2074632645,0,167.333023071,-3.45668029785,-26.4812450409
-0.0223767012358,13.623717308,12,-0.765907466412,17.4536040497,1,12.5873842239,0,161.308944702,2.53215456009,-32.4775848389
-0.006141171325,13.461722374,12,-0.735962748528,17.6183433734,1,12.4185447693,0,159.67338562,4.1643037796,-34.1169700623
0.0708736479282,13.0211105347,12,-0.622182369232,18.0734090474,1,11.9726810455,0,151.214141846,12.5947246552,-39.1610336304
0.0918860882521,12.9012098312,12,-0.591220200062,18.1972429467,1,11.8512544632,0,148.911697388,14.8933849335,-40.5417137146
0.191965222359,12.5854616165,12,-0.478801488876,18.532406939,1,11.5451717377,0,136.441970825,27.342830658,-43.0174255371
0.219326749444,12.4995393753,12,-0.448209911585,18.6236126194,1,11.4617967606,0,133.043151855,30.7380199432,-43.699634552
0.343006253242,12.2854480743,12,-0.334450483322,18.8660508438,1,11.2689113617,0,113.957298279,49.81224823,-36.1895179749
0.376890480518,12.227189064,12,-0.303494066,18.9320236568,1,11.2163553238,0,108.749801636,55.0163993835,-34.1508636475
0.439024448395,12.091794014,12,-0.16904309392,19.1228347767,1,11.1184101105,0,89.7210464478,74.0412521362,-3.76240634918
0.456178277731,12.0549497604,12,-0.132456049323,19.1747588641,1,11.0917005539,0,84.5247039795,79.2344741821,4.51372385025
0.326819866896,12.0117540359,12,-0.0283339116722,19.287485481,1,11.0931053162,0,87.4058456421,76.3036270142,51.0344772339
0.291909813881,12,12,0,19.3181606813,1,11.0934553146,0,88.1744232178,75.5211715698,63.6846504211
0.222287520766,12.0117540359,12,0.0283339116722,19.3488358815,1,11.1171255112,0,94.8684997559,68.8349380493,72.0046234131
-0.032858774066,12.0549497604,12,0.132456049323,19.4615624985,1,11.2042331696,0,119.490982056,44.2617988586,102.384460449
-0.0943426266313,12.091794014,12,0.16904309392,19.5134865859,1,11.2601413727,0,126.942153931,36.807094574,102.454704285
-0.319561183453,12.227189064,12,0.303494066,19.7042977057,1,11.4657382965,0,154.296905518,9.4604177475,102.657089233
-0.348816543818,12.2854480743,12,0.334450483322,19.7702705187,1,11.54484272,0,159.170166016,4.58305978775,98.5372390747
