"C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.198279991746,30.0466537476,31.0000743866,12,0,0,-0.00116801727563,0.00116802426055,0.010963796638,1,-0.870168030262,-0.0326413363218,144.303970337,17.1383876801,13.5474500656
0.196602731943,30.0384273529,30.9908733368,12,-0.000980073120445,0.00925310006591,-0.0011625404004,0.0011625472689,0.0109121417627,1,-0.869147956371,-0.032643891871,144.469390869,16.9718112946,13.5831756592
0.174408838153,29.9308547974,30.8705615997,12,-0.0137975160033,0.130245665609,-0.00109156954568,0.00109157618135,0.0102428523824,1,-0.85579174757,-0.0326775163412,146.657333374,14.7689256668,14.0556373596
0.172043398023,29.9209918976,30.8598823547,12,-0.0149359218776,0.140985416146,-0.00108706776518,0.00108707440086,0.010200060904,1,-0.854920804501,-0.0326830632985,146.887268066,14.5390329361,14.1054172516
0.141001194715,29.7920093536,30.7202301025,12,-0.0298240482807,0.281429027077,-0.00102964485995,0.0010296512628,0.00965434126556,1,-0.843536496162,-0.0327553674579,149.901306152,11.530705452,14.7573566437
0.139810293913,29.7804489136,30.7078647614,12,-0.0311433728784,0.293864551998,-0.00103121169377,0.00103121821303,0.00966840237379,1,-0.842667281628,-0.0327617786825,150.012023926,11.420165062,14.7818784714
0.124193497002,29.6292533875,30.5461463928,12,-0.0483975559473,0.456500764305,-0.00105047691613,0.00105048355181,0.00984114967287,1,-0.831315279007,-0.0328452959657,151.462356567,9.97544956207,15.1026926041
0.123260483146,29.6157855988,30.5318660736,12,-0.0499225407839,0.470862278696,-0.00105299474671,0.0010530014988,0.00986399315298,1,-0.830429971218,-0.0328526608646,151.547317505,9.8907623291,15.121881485
0.111035168171,29.4396266937,30.3451118469,12,-0.0698663443327,0.658678402829,-0.00108429172542,0.00108429801185,0.01014778018,1,-0.81887447834,-0.032949578017,152.65927124,8.78479671478,15.3728637695
0.110243491828,29.4240131378,30.3286724091,12,-0.0716237053275,0.675211504021,-0.00108709838241,0.00108710466884,0.0101731596515,1,-0.817966043949,-0.0329581014812,152.730194092,8.71421527863,15.389251709
0.0998744815588,29.2197780609,30.11369133,12,-0.0946065187454,0.891417595712,-0.00112202949822,0.00112203555182,0.0104889459908,1,-0.80611294508,-0.0330692902207,153.65814209,7.79282045364,15.6034183502
0.0991666615009,29.201757431,30.0948371887,12,-0.0966245904565,0.910379432521,-0.00112465769053,0.00112466374412,0.0105125010014,1,-0.805180847645,-0.0330787599087,153.720703125,7.73068571091,15.6181821823
0.0898987129331,28.9660701752,29.8482627869,12,-0.123017020524,1.1583622868,-0.00115731696133,0.00115732336417,0.0108050741255,1,-0.793024122715,-0.0332025997341,154.538894653,6.9197268486,15.8111257553
0.089244119823,28.9453754425,29.8267269135,12,-0.125325039029,1.1800214833,-0.00115938426461,0.00115939066745,0.0108231240883,1,-0.792072713375,-0.0332140363753,154.596038818,6.86308574677,15.8250541687
0.0806740447879,28.674697876,29.5451011658,12,-0.155509278178,1.46326016365,-0.00118493451737,0.00118494126946,0.0110459579155,1,-0.779668807983,-0.0333635993302,155.343353271,6.12381982803,16.0070858002
0.0800503641367,28.6510562897,29.5206222534,12,-0.158137366176,1.48787974928,-0.00118602195289,0.00118602858856,0.0110542504117,1,-0.778706789017,-0.0333803333342,155.397109985,6.07063388824,16.0211353302
