"C_p_inc","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.109894141555,31.0000743866,12,0,0,0.0608029775321,-0.0608033500612,-0.569026768208,1,0.41403067112,-0.105654783547,152.671691895,10.4729299545,15.1945476532
0.106394574046,30.9004840851,12,-0.0106416447088,0.100157240166,0.058955848217,-0.0589562095702,-0.551656126976,1,0.419407457113,-0.105689913034,152.974243164,10.1712694168,15.2648572922
0.0617706738412,29.6505794525,12,-0.144199416041,1.35717723555,0.0368729904294,-0.0368732176721,-0.344220995903,1,0.485666185617,-0.106130823493,156.82460022,6.35119867325,16.1567687988
0.0541457645595,29.421043396,12,-0.168952450156,1.58804411048,0.0261885747313,-0.0261887367815,-0.23696577549,1,0.486334323883,-0.105792604387,157.454269409,5.72544384003,16.22955513
-0.0428380593657,26.5402584076,12,-0.479614883661,4.4855315215,-0.0866404101253,0.0866409540176,0.896773040295,1,0.49093529582,-0.101547792554,165.441604614,-2.09418296814,17.1471042633
-0.0518735349178,26.1605587006,12,-0.516597688198,4.86702804226,-0.0912397280335,0.0912403464317,1.092056036,1,0.471618026495,-0.0983762666583,166.148132324,-2.78896617889,16.6675014496
-0.16836117208,21.3951244354,12,-0.980749607086,9.65501308183,-0.131545871496,0.131547182798,2.97814702988,1,0.220120176673,-0.0585719943047,175.248947144,-11.2163114548,10.6343374252
-0.242321372032,16.6114521027,12,-1.07960009575,14.4397066359,0.126387387514,-0.126386284828,3.63079357147,1,-0.281676620245,0.0491550080478,179.964096069,-15.697640419,-10.011961937
-0.248651608825,16.2302970886,12,-1.08747637272,14.8209430199,0.152835816145,-0.15283472836,3.69167590141,1,-0.320789992809,0.0577384792268,180.368911743,-16.0936374664,-11.6591663361
-0.0733524560928,13.3637838364,12,-0.689812302589,17.7149082819,0.0622867420316,-0.062286388129,1.52975332737,1,-0.70507133007,0.274902999401,159.195846558,5.01656389236,-41.4226570129
-0.0593991205096,13.1353855133,12,-0.658127129078,17.9454939367,0.0508698411286,-0.0508695617318,1.31164860725,1,-0.735302567482,0.292206227779,157.512939453,6.70390415192,-43.8081474304
0.134949624538,12.0837888718,12,-0.0485685393214,19.160984443,-0.343282610178,0.343282610178,0.112151429057,1,-0.77646279335,0.436762332916,135.952972412,28.0811138153,-3.25027418137
0.150545328856,12,12,0,19.2578321484,-0.380409389734,0.380409359932,-4.0469547713e-08,1,-0.779657125473,0.448280274868,134.227371216,29.8030815125,1.2715657931e-06
0.134949609637,12.0837888718,12,0.0485685393214,19.3546798538,-0.343282610178,0.343282610178,-0.112151518464,1,-0.77646279335,0.436762332916,135.952972412,28.081111908,3.25027656555
-0.0593991428614,13.1353855133,12,0.658127129078,20.5701703601,0.0508698783815,-0.0508695989847,-1.31164872646,1,-0.735302567482,0.292206227779,157.512939453,6.70390319824,43.8081474304
-0.0733524784446,13.3637838364,12,0.689812302589,20.8007560149,0.0622867755592,-0.0622864216566,-1.52975344658,1,-0.70507133007,0.274902999401,159.195846558,5.01656293869,41.4226570129
-0.248651638627,16.2302970886,12,1.08747637272,23.694721277,0.152835816145,-0.15283472836,-3.69167637825,1,-0.320789963007,0.0577384792268,180.368911743,-16.0936374664,11.6591663361
-0.242321401834,16.6114521027,12,1.07960009575,24.0759576609,0.126387387514,-0.126386284828,-3.63079380989,1,-0.281676590443,0.0491550080478,179.964096069,-15.6976413727,10.011961937
-0.168361186981,21.3951244354,12,0.980749607086,28.860651215,-0.131545886397,0.131547212601,-2.9781472683,1,0.220120236278,-0.0585719943047,175.248947144,-11.2163124084,-10.6343374252
-0.0518735535443,26.1605587006,12,0.516597688198,33.6486362546,-0.0912397503853,0.0912403687835,-1.09205627441,1,0.471618115902,-0.0983762666583,166.148132324,-2.78896760941,-16.6675014496
-0.0428380779922,26.5402584076,12,0.479614883661,34.0301327753,-0.086640432477,0.0866409763694,-0.896773278713,1,0.490935385227,-0.101547792554,165.441604614,-2.09418392181,-17.1471042633
0.0541457459331,29.421043396,12,0.168952450156,36.9276201864,0.0261885579675,-0.0261887200177,0.236965611577,1,0.486334443092,-0.105792604387,157.454269409,5.72544193268,-16.22955513
0.0617706589401,29.6505794525,12,0.144199416041,37.1584870613,0.0368729755282,-0.0368732027709,0.344220846891,1,0.485666304827,-0.106130823493,156.82460022,6.35119724274,-16.1567687988
0.106394551694,30.9004840851,12,0.0106416447088,38.4155070567,0.0589558333158,-0.058956194669,0.551655948162,1,0.419407576323,-0.105689913034,152.974258423,10.1712684631,-15.2648572922
0.109894141555,31.0000743866,12,0,38.5156642968,0.0608029775321,-0.0608033500612,-0.569026768208,1,0.41403067112,-0.105654783547,152.671691895,10.4729299545,15.1945476532
