"C_p_inc","Points:0","Points:1","Points:2","arc_length","inclination","mu","sigma","v:0","v:1","v:2"
0.162689685822,31.0003013611,12,0,0,1,31.4254684448,0,147.678222656,15.4604644775,-2.81941986084
0.1470490098,30.8361701965,12,-0.0174942482263,0.165060861193,1,31.2752685547,0,149.149276733,13.9918022156,5.79688405991
0.130691677332,30.6658687592,12,-0.0356464646757,0.336326977325,1,31.1193256378,0,150.685791016,12.4584312439,14.7514162064
0.105270832777,30.3632888794,12,-0.0679737105966,0.640628857807,1,30.8311424255,0,153.013168335,10.1385850906,15.2733545303
0.0787538737059,30.049325943,12,-0.101516798139,0.956378543723,1,30.5319137573,0,155.436523438,7.72855949402,15.816160202
0.0582556128502,29.5150032043,12,-0.158852472901,1.49376868937,1,30.0110683441,0,157.192214966,5.98805809021,16.2358322144
0.0368031486869,28.9605827332,12,-0.218344569206,2.05137192501,1,29.4702033997,0,159.026260376,4.1821937561,16.6726741791
0.0123351914808,28.0850219727,12,-0.31292834878,2.93202664548,1,28.5967903137,0,161.026351929,2.21175551414,17.0587520599
-0.0133616784588,27.1765289307,12,-0.411069482565,3.84580522341,1,27.6896533966,0,163.123245239,0.174092024565,17.4608821869
-0.0468936413527,25.9033908844,12,-0.546442806721,5.12612019315,1,26.3838024139,0,165.773498535,-2.42201352119,17.3301067352
-0.0821492522955,24.5823688507,12,-0.686907589436,6.45458907449,1,25.027141571,0,168.556304932,-5.08752679825,17.193862915
-0.126707330346,23.0182170868,12,-0.831122457981,8.02537507801,1,23.3663291931,0,171.983062744,-8.39796447754,15.1976652145
-0.173683226109,21.395236969,12,-0.980761349201,9.65523895593,1,21.6403102875,0,175.594818115,-11.752989769,13.1209020615
-0.212814509869,19.7673587799,12,-1.06143903732,11.2851151131,1,19.8439311981,0,178.467285156,-14.4748191833,6.90269374847
-0.251374125481,18.1984844208,12,-1.13919246197,12.8559150208,1,18.1156101227,0,181.289840698,-17.2153778076,0.917256116867
-0.262098819017,16.8714237213,12,-1.08809256554,14.183959184,1,16.6195430756,0,181.65512085,-17.5012893677,-8.08040714264
-0.273337155581,15.592464447,12,-1.03884494305,15.4638662719,1,15.1795835495,0,182.064727783,-17.8485927582,-16.7691116333
-0.253344893456,14.6865797043,12,-0.920691728592,16.3774237956,1,14.1554880142,0,179.383728027,-15.1672315598,-26.2066516876
-0.234862446785,13.8135309219,12,-0.806821227074,17.257867245,1,13.169095993,0,176.853729248,-12.6100196838,-35.3368034363
-0.174636408687,13.2724561691,12,-0.672878563404,17.8152742105,1,12.5580768585,0,169.247238159,-5.03066205978,-45.6192626953
-0.116764172912,12.7509937286,12,-0.543790996075,18.352476851,1,11.9691858292,0,161.931838989,2.29240179062,-55.5734672546
0.0295844543725,12.4668703079,12,-0.40714481473,18.6677518057,1,11.6505060196,0,143.354125977,20.8481845856,-56.9950942993
0.171481445432,12.1930465698,12,-0.275451660156,18.9715980275,1,11.3432483673,0,125.398384094,38.805355072,-58.3673934937
0.273975640535,12.0947408676,12,-0.135183662176,19.1428846947,1,11.2396030426,0,112.367729187,51.7912597656,-28.696521759
0.373296737671,12,12,0,19.3079618115,1,11.1396694183,0,99.7746734619,64.3517379761,-0.000108953579911
0.273976206779,12.0947408676,12,0.135183662176,19.4730389284,1,11.2396020889,0,112.36769104,51.791305542,28.6963214874
0.171482741833,12.1930465698,12,0.275451660156,19.6443255956,1,11.3432483673,0,125.398300171,38.8054504395,58.367225647
0.0295857973397,12.4668703079,12,0.40714481473,19.9481718174,1,11.6505050659,0,143.354049683,20.8482818604,56.994972229
-0.116762772202,12.7509937286,12,0.543790996075,20.2634467721,1,11.9691848755,0,161.931747437,2.292501688,55.5733947754
-0.174635156989,13.2724561691,12,0.672878563404,20.8006494125,1,12.5580759048,0,169.247161865,-5.03056907654,45.6192054749
-0.234861329198,13.8135309219,12,0.806821227074,21.3580563781,1,13.1690940857,0,176.853652954,-12.6099328995,35.336769104
-0.253343939781,14.6865797043,12,0.920691728592,22.2384998274,1,14.1554861069,0,179.383682251,-15.1671495438,26.2066287994
-0.273336321115,15.592464447,12,1.03884494305,23.1520573512,1,15.1795806885,0,182.064682007,-17.8485126495,16.7691001892
-0.262098163366,16.8714237213,12,1.08809256554,24.4319644391,1,16.6195411682,0,181.655090332,-17.5012130737,8.08039951324
-0.251373648643,18.1984844208,12,1.13919246197,25.7600086023,1,18.115606308,0,181.289810181,-17.215297699,-0.917257487774
-0.21281427145,19.7673587799,12,1.06143903732,27.3308085099,1,19.8439273834,0,178.467285156,-14.4747390747,-6.90269374847
-0.173683151603,21.395236969,12,0.980761349201,28.9606846671,1,21.6403064728,0,175.594818115,-11.7528915405,-13.1208963394
-0.126707971096,23.0182170868,12,0.831122457981,30.590548545,1,23.3663253784,0,171.983108521,-8.39789104462,-15.1976642609
-0.0821502432227,24.5823688507,12,0.686907589436,32.1613345486,1,25.0271396637,0,168.556381226,-5.08748102188,-17.1938667297
-0.0468951873481,25.9033908844,12,0.546442806721,33.4898034299,1,26.3838005066,0,165.773620605,-2.42201209068,-17.3301200867
-0.0133633539081,27.1765289307,12,0.411069482565,34.7701183997,1,27.6896533966,0,163.12336731,0.174066111445,-17.460899353
0.0123331556097,28.0850219727,12,0.31292834878,35.6838969776,1,28.5967903137,0,161.026519775,2.21167421341,-17.0587787628
0.0368012040854,28.9605827332,12,0.218344569206,36.5645516981,1,29.470205307,0,159.026412964,4.18209695816,-16.672700882
0.0582541488111,29.5150032043,12,0.158852472901,37.1221549337,1,30.0110702515,0,157.192337036,5.98796653748,-16.2358570099
0.0787530317903,30.049325943,12,0.101516798139,37.6595450793,1,30.531917572,0,155.436584473,7.72850656509,-15.8161745071
